timestamp_ms,target_x,target_y,target_z,real_x,real_y,real_z,error,base_deg,shoulder_deg,elbow_deg
40,15.0,0.036,14.982,15.025,0.034,14.979,0.0254,0.13,-19.45,106.08
41,15.0,0.038,14.981,15.0,0.056,14.976,0.0196,0.22,-19.47,106.19
42,15.0,0.039,14.98,15.019,0.06,14.967,0.0303,0.23,-19.5,106.14
43,15.0,0.041,14.979,14.999,0.059,14.998,0.0257,0.22,-19.38,106.14
44,15.0,0.043,14.978,15.007,0.054,14.964,0.0191,0.21,-19.51,106.19
45,15.0,0.045,14.977,15.008,0.05,14.972,0.0102,0.19,-19.48,106.17
46,15.0,0.047,14.976,14.982,0.052,15.005,0.0344,0.2,-19.36,106.19
47,15.0,0.049,14.975,14.984,0.035,14.997,0.0304,0.13,-19.39,106.2
48,15.0,0.052,14.974,14.971,0.037,14.991,0.0365,0.14,-19.42,106.27
49,15.0,0.054,14.973,14.998,0.064,14.983,0.0145,0.25,-19.44,106.18
50,15.0,0.056,14.972,14.996,0.072,14.975,0.0173,0.28,-19.47,106.21
51,15.0,0.058,14.971,14.969,0.085,15.002,0.0513,0.32,-19.37,106.24
52,15.0,0.061,14.97,15.037,0.083,14.968,0.0437,0.32,-19.49,106.06
53,15.0,0.063,14.969,14.988,0.081,14.981,0.0251,0.31,-19.45,106.23
54,15.0,0.065,14.967,14.979,0.072,14.97,0.0222,0.28,-19.5,106.29
55,15.0,0.068,14.966,15.002,0.078,14.957,0.0138,0.3,-19.54,106.23
56,15.0,0.07,14.965,15.014,0.071,14.959,0.0155,0.27,-19.53,106.18
57,15.0,0.073,14.964,14.993,0.048,14.951,0.0286,0.18,-19.57,106.28
58,15.0,0.075,14.962,14.984,0.061,14.965,0.0215,0.23,-19.52,106.28
59,15.0,0.078,14.961,14.989,0.088,14.962,0.0146,0.33,-19.53,106.27
60,15.0,0.081,14.96,15.016,0.073,14.941,0.0256,0.28,-19.6,106.22
61,15.0,0.083,14.958,15.0,0.091,14.961,0.0084,0.35,-19.53,106.23
62,15.0,0.086,14.957,15.004,0.087,14.946,0.0118,0.33,-19.59,106.25
63,15.0,0.089,14.956,14.987,0.063,14.941,0.033,0.24,-19.61,106.34
64,15.0,0.092,14.954,14.997,0.09,14.961,0.0074,0.35,-19.53,106.24
65,15.0,0.095,14.953,14.998,0.085,14.966,0.0165,0.33,-19.51,106.23
66,15.0,0.097,14.951,15.014,0.1,14.952,0.0144,0.38,-19.56,106.2
67,15.0,0.1,14.95,15.046,0.085,14.94,0.0494,0.32,-19.6,106.1
68,15.0,0.103,14.948,15.001,0.101,14.982,0.0341,0.39,-19.44,106.17
69,15.0,0.107,14.947,14.996,0.074,14.951,0.033,0.28,-19.57,106.27
70,15.0,0.11,14.945,14.992,0.107,14.934,0.0142,0.41,-19.64,106.33
71,15.0,0.113,14.944,15.017,0.093,14.946,0.0268,0.35,-19.58,106.2
72,15.0,0.116,14.942,14.989,0.107,14.935,0.0157,0.41,-19.63,106.34
73,15.0,0.119,14.94,14.98,0.124,14.935,0.0214,0.48,-19.64,106.38
74,15.0,0.123,14.939,14.989,0.123,14.934,0.0115,0.47,-19.64,106.34
75,15.0,0.126,14.937,14.984,0.109,14.936,0.0228,0.42,-19.63,106.36
76,15.0,0.129,14.935,15.01,0.157,14.923,0.0319,0.6,-19.68,106.29
77,15.0,0.133,14.934,15.012,0.137,14.948,0.0199,0.52,-19.58,106.21
78,15.0,0.136,14.932,14.997,0.121,14.942,0.0185,0.46,-19.6,106.29
79,15.0,0.14,14.93,15.018,0.134,14.914,0.025,0.51,-19.71,106.28
80,15.0,0.143,14.928,15.026,0.162,14.93,0.0316,0.62,-19.64,106.21
81,15.0,0.147,14.927,14.991,0.133,14.92,0.018,0.51,-19.69,106.37
82,15.0,0.15,14.925,14.98,0.139,14.936,0.0252,0.53,-19.63,106.37
83,15.0,0.154,14.923,15.002,0.179,14.897,0.0362,0.68,-19.78,106.39
84,15.0,0.158,14.921,15.042,0.159,14.894,0.0496,0.61,-19.78,106.24
85,15.0,0.162,14.919,15.018,0.161,14.909,0.0207,0.61,-19.73,106.29
86,15.0,0.165,14.917,15.0,0.159,14.921,0.0075,0.61,-19.69,106.33
87,15.0,0.169,14.915,14.984,0.122,14.917,0.0506,0.46,-19.71,106.41
88,15.0,0.173,14.913,15.02,0.165,14.918,0.0219,0.63,-19.7,106.26
89,15.0,0.177,14.911,14.997,0.195,14.896,0.0237,0.75,-19.79,106.41
90,15.0,0.181,14.909,15.001,0.184,14.914,0.0058,0.7,-19.71,106.35
91,15.0,0.185,14.907,14.991,0.188,14.928,0.0228,0.72,-19.66,106.35
92,15.0,0.189,14.905,14.996,0.172,14.923,0.025,0.66,-19.68,106.34
93,15.0,0.194,14.903,15.022,0.193,14.891,0.0252,0.74,-19.8,106.32
94,15.0,0.198,14.901,15.009,0.202,14.885,0.0185,0.77,-19.83,106.39
95,15.0,0.202,14.899,15.006,0.217,14.892,0.0174,0.83,-19.8,106.39
96,15.0,0.206,14.897,15.0,0.205,14.893,0.0044,0.78,-19.8,106.41
97,15.0,0.211,14.895,15.023,0.195,14.871,0.0367,0.74,-19.88,106.37
98,15.0,0.215,14.893,14.993,0.195,14.897,0.0215,0.75,-19.78,106.42
99,15.0,0.219,14.89,15.003,0.225,14.884,0.0093,0.86,-19.83,106.42
100,15.0,0.224,14.888,14.98,0.197,14.892,0.0335,0.75,-19.81,106.49
101,15.0,0.228,14.886,14.999,0.21,14.894,0.0194,0.8,-19.8,106.41
102,15.0,0.233,14.884,15.023,0.261,14.883,0.0367,1.0,-19.83,106.34
103,15.0,0.237,14.881,15.023,0.233,14.86,0.0319,0.89,-19.92,106.4
104,15.0,0.242,14.879,15.007,0.252,14.864,0.0191,0.96,-19.91,106.45
105,15.0,0.247,14.877,15.011,0.251,14.856,0.0238,0.96,-19.94,106.46
106,15.0,0.251,14.874,14.982,0.26,14.896,0.0294,0.99,-19.79,106.47
107,15.0,0.256,14.872,15.004,0.24,14.871,0.0166,0.92,-19.89,106.45
108,15.0,0.261,14.87,14.995,0.262,14.893,0.0245,1.0,-19.8,106.42
109,15.0,0.266,14.867,15.016,0.275,14.856,0.0216,1.05,-19.94,106.43
110,15.0,0.271,14.865,14.977,0.28,14.878,0.0283,1.07,-19.86,106.53
111,15.0,0.276,14.862,14.999,0.28,14.877,0.0157,1.07,-19.86,106.45
112,15.0,0.281,14.86,15.024,0.288,14.837,0.0337,1.1,-20.01,106.45
113,15.0,0.286,14.857,15.026,0.274,14.822,0.0453,1.05,-20.07,106.48
114,15.0,0.291,14.855,15.014,0.281,14.859,0.0177,1.07,-19.93,106.43
115,15.0,0.296,14.852,15.01,0.299,14.851,0.011,1.14,-19.96,106.47
116,15.0,0.301,14.849,14.979,0.282,14.853,0.0287,1.08,-19.96,106.59
117,15.0,0.306,14.847,15.003,0.285,14.846,0.0218,1.09,-19.98,106.51
118,15.0,0.312,14.844,14.988,0.287,14.834,0.0295,1.1,-20.04,106.6
119,15.0,0.317,14.842,15.017,0.322,14.852,0.021,1.23,-19.96,106.43
120,15.0,0.322,14.839,14.986,0.326,14.829,0.0177,1.25,-20.06,106.62
121,15.0,0.328,14.836,14.994,0.33,14.843,0.0087,1.26,-20.0,106.55
122,15.0,0.333,14.833,15.019,0.337,14.814,0.0273,1.29,-20.11,106.52
123,15.0,0.339,14.831,14.989,0.36,14.837,0.0244,1.37,-20.02,106.58
124,15.0,0.344,14.828,15.01,0.345,14.819,0.0129,1.32,-20.09,106.55
125,15.0,0.35,14.825,14.982,0.334,14.844,0.0304,1.28,-20.0,106.6
126,15.0,0.355,14.822,14.989,0.36,14.834,0.0166,1.38,-20.03,106.59
127,15.0,0.361,14.82,14.998,0.384,14.839,0.0304,1.47,-20.01,106.54
128,15.0,0.367,14.817,15.014,0.353,14.812,0.0201,1.35,-20.11,106.55
129,15.0,0.372,14.814,14.993,0.369,14.82,0.01,1.41,-20.09,106.61
130,15.0,0.378,14.811,14.99,0.363,14.81,0.0187,1.39,-20.13,106.65
131,15.0,0.384,14.808,14.981,0.378,14.807,0.0196,1.45,-20.14,106.69
132,15.0,0.39,14.805,14.998,0.414,14.796,0.0253,1.58,-20.18,106.65
133,15.0,0.396,14.802,14.986,0.4,14.806,0.0153,1.53,-20.14,106.67
134,15.0,0.402,14.799,15.021,0.411,14.776,0.0322,1.57,-20.26,106.61
135,15.0,0.408,14.796,14.997,0.412,14.802,0.0076,1.57,-20.16,106.64
136,15.0,0.414,14.793,15.007,0.424,14.789,0.0127,1.62,-20.21,106.63
137,15.0,0.42,14.79,14.981,0.419,14.8,0.0216,1.6,-20.17,106.71
138,15.0,0.426,14.787,15.049,0.445,14.762,0.058,1.69,-20.31,106.53
139,15.0,0.432,14.784,15.03,0.424,14.746,0.0491,1.62,-20.37,106.65
140,15.0,0.439,14.781,15.011,0.434,14.786,0.0128,1.65,-20.22,106.62
141,15.0,0.445,14.778,15.006,0.42,14.792,0.0295,1.6,-20.2,106.63
142,15.0,0.451,14.774,14.982,0.412,14.784,0.0446,1.57,-20.24,106.74
143,15.0,0.458,14.771,14.983,0.47,14.786,0.0259,1.8,-20.23,106.73
144,15.0,0.464,14.768,15.005,0.471,14.763,0.0101,1.8,-20.31,106.7
145,15.0,0.47,14.765,15.005,0.458,14.754,0.0175,1.75,-20.35,106.72
146,15.0,0.477,14.762,15.012,0.471,14.777,0.02,1.8,-20.26,106.64
147,15.0,0.484,14.758,14.998,0.479,14.751,0.0087,1.83,-20.36,106.76
148,15.0,0.49,14.755,15.013,0.482,14.744,0.0187,1.84,-20.39,106.72
149,15.0,0.497,14.752,14.994,0.491,14.737,0.0165,1.87,-20.42,106.81
150,15.0,0.503,14.748,15.011,0.513,14.753,0.0157,1.96,-20.35,106.69
151,15.0,0.51,14.745,15.029,0.511,14.727,0.034,1.95,-20.45,106.69
152,15.0,0.517,14.742,15.017,0.498,14.768,0.0368,1.9,-20.29,106.64
153,15.0,0.524,14.738,14.989,0.54,14.722,0.0254,2.06,-20.48,106.86
154,15.0,0.531,14.735,14.978,0.532,14.736,0.0217,2.03,-20.43,106.87
155,15.0,0.538,14.731,14.985,0.541,14.737,0.0164,2.07,-20.42,106.84
156,15.0,0.545,14.728,14.989,0.559,14.741,0.0224,2.14,-20.4,106.81
157,15.0,0.552,14.724,15.004,0.562,14.72,0.0119,2.14,-20.48,106.8
158,15.0,0.559,14.721,15.0,0.564,14.719,0.0058,2.15,-20.49,106.82
159,15.0,0.566,14.717,15.025,0.568,14.721,0.025,2.16,-20.47,106.72
160,15.0,0.573,14.714,15.008,0.582,14.703,0.0159,2.22,-20.55,106.83
161,15.0,0.58,14.71,14.996,0.575,14.717,0.0097,2.2,-20.5,106.84
162,15.0,0.587,14.706,15.002,0.59,14.725,0.0185,2.25,-20.47,106.79
163,15.0,0.595,14.703,15.009,0.615,14.681,0.0308,2.34,-20.64,106.87
164,15.0,0.602,14.699,15.025,0.582,14.681,0.0367,2.22,-20.63,106.81
165,15.0,0.609,14.695,15.007,0.629,14.698,0.0216,2.4,-20.57,106.84
166,15.0,0.617,14.692,15.011,0.632,14.708,0.0246,2.41,-20.53,106.8
167,15.0,0.624,14.688,15.004,0.62,14.689,0.006,2.37,-20.61,106.87
168,15.0,0.632,14.684,14.998,0.608,14.693,0.0256,2.32,-20.59,106.89
169,15.0,0.639,14.68,15.004,0.655,14.654,0.0312,2.5,-20.75,106.96
170,15.0,0.647,14.677,15.027,0.641,14.656,0.0345,2.44,-20.73,106.86
171,15.0,0.654,14.673,15.015,0.642,14.658,0.0244,2.45,-20.73,106.91
172,15.0,0.662,14.669,14.984,0.666,14.688,0.0257,2.55,-20.61,106.95
173,15.0,0.67,14.665,15.009,0.657,14.673,0.0177,2.51,-20.67,106.89
174,15.0,0.677,14.661,15.027,0.669,14.654,0.0291,2.55,-20.74,106.86
175,15.0,0.685,14.657,15.001,0.699,14.655,0.0138,2.67,-20.74,106.96
176,15.0,0.693,14.653,15.024,0.678,14.63,0.0369,2.58,-20.84,106.94
177,15.0,0.701,14.649,15.005,0.695,14.655,0.0097,2.65,-20.74,106.94
178,15.0,0.709,14.646,14.993,0.711,14.663,0.0188,2.71,-20.71,106.97
179,15.0,0.717,14.642,15.005,0.721,14.654,0.0141,2.75,-20.75,106.94
180,15.0,0.725,14.638,15.006,0.718,14.643,0.0107,2.74,-20.79,106.96
181,15.0,0.733,14.633,15.009,0.724,14.608,0.0288,2.76,-20.93,107.04
182,15.0,0.741,14.629,15.014,0.732,14.628,0.0168,2.79,-20.85,106.97
183,15.0,0.749,14.625,15.009,0.76,14.629,0.015,2.9,-20.84,106.98
184,15.0,0.758,14.621,14.986,0.749,14.631,0.0191,2.86,-20.84,107.07
185,15.0,0.766,14.617,15.007,0.759,14.638,0.0231,2.9,-20.81,106.97
186,15.0,0.774,14.613,14.99,0.795,14.641,0.0364,3.04,-20.8,107.02
187,15.0,0.782,14.609,15.013,0.787,14.6,0.0164,3.0,-20.96,107.04
188,15.0,0.791,14.605,14.985,0.799,14.607,0.0175,3.05,-20.94,107.13
189,15.0,0.799,14.6,14.993,0.809,14.614,0.0179,3.09,-20.91,107.07
190,15.0,0.808,14.596,14.995,0.816,14.597,0.0096,3.12,-20.97,107.11
191,15.0,0.816,14.592,14.994,0.818,14.6,0.0101,3.12,-20.96,107.1
192,15.0,0.825,14.588,15.013,0.837,14.565,0.0289,3.19,-21.1,107.11
193,15.0,0.833,14.583,14.988,0.832,14.579,0.0128,3.18,-21.05,107.18
194,15.0,0.842,14.579,15.018,0.819,14.56,0.0351,3.12,-21.12,107.11
195,15.0,0.851,14.575,15.008,0.844,14.581,0.0123,3.22,-21.03,107.09
196,15.0,0.86,14.57,14.951,0.811,14.593,0.0725,3.11,-21.0,107.3
197,15.0,0.868,14.566,15.016,0.876,14.539,0.0321,3.34,-21.2,107.16
198,15.0,0.877,14.561,14.99,0.871,14.556,0.0132,3.32,-21.14,107.22
199,15.0,0.886,14.557,15.002,0.862,14.551,0.0248,3.29,-21.15,107.19
200,15.0,0.895,14.552,14.966,0.893,14.57,0.0381,3.42,-21.09,107.28
201,15.0,0.904,14.548,15.014,0.894,14.532,0.0238,3.41,-21.23,107.18
202,15.0,0.913,14.543,15.016,0.921,14.54,0.0184,3.51,-21.19,107.15
203,15.0,0.922,14.539,15.004,0.919,14.539,0.0051,3.5,-21.2,107.2
204,15.0,0.931,14.534,15.011,0.929,14.543,0.014,3.54,-21.18,107.16
205,15.0,0.94,14.53,14.987,0.937,14.549,0.0234,3.58,-21.17,107.24
206,15.0,0.95,14.525,15.013,0.932,14.491,0.041,3.55,-21.39,107.28
207,15.0,0.959,14.521,14.995,0.965,14.523,0.0083,3.68,-21.27,107.26
208,15.0,0.968,14.516,15.005,0.972,14.516,0.006,3.7,-21.29,107.24
209,15.0,0.977,14.511,14.987,0.986,14.529,0.0232,3.76,-21.24,107.27
210,15.0,0.987,14.507,15.017,0.986,14.485,0.0274,3.76,-21.41,107.27
211,15.0,0.996,14.502,14.998,1.012,14.509,0.0179,3.86,-21.32,107.27
212,15.0,1.006,14.497,15.018,0.99,14.475,0.0326,3.77,-21.45,107.28
213,15.0,1.015,14.492,15.01,1.022,14.499,0.0139,3.89,-21.35,107.25
214,15.0,1.025,14.488,14.996,1.005,14.482,0.0209,3.83,-21.43,107.35
215,15.0,1.034,14.483,14.986,1.051,14.479,0.0218,4.01,-21.44,107.39
216,15.0,1.044,14.478,15.005,1.033,14.46,0.0222,3.94,-21.51,107.36
217,15.0,1.054,14.473,14.983,1.082,14.487,0.0356,4.13,-21.41,107.37
218,15.0,1.063,14.468,14.977,1.058,14.485,0.029,4.04,-21.42,107.41
219,15.0,1.073,14.463,15.006,1.079,14.45,0.0158,4.11,-21.55,107.37
220,15.0,1.083,14.459,15.005,1.102,14.463,0.02,4.2,-21.5,107.34
221,15.0,1.093,14.454,15.006,1.106,14.462,0.0164,4.21,-21.5,107.33
222,15.0,1.103,14.449,15.01,1.115,14.46,0.0192,4.25,-21.51,107.32
223,15.0,1.113,14.444,14.972,1.147,14.454,0.0453,4.38,-21.55,107.48
224,15.0,1.123,14.439,14.998,1.126,14.444,0.007,4.3,-21.58,107.41
225,15.0,1.133,14.434,15.01,1.14,14.427,0.0139,4.34,-21.64,107.39
226,15.0,1.143,14.429,14.998,1.153,14.443,0.0178,4.4,-21.58,107.4
227,15.0,1.153,14.423,15.004,1.163,14.426,0.0109,4.43,-21.65,107.42
228,15.0,1.163,14.418,15.001,1.17,14.418,0.0074,4.46,-21.68,107.44
229,15.0,1.173,14.413,14.975,1.2,14.448,0.0502,4.58,-21.57,107.46
230,15.0,1.184,14.408,15.03,1.183,14.403,0.0302,4.5,-21.73,107.36
231,15.0,1.194,14.403,15.015,1.205,14.396,0.0197,4.59,-21.76,107.43
232,15.0,1.204,14.398,14.977,1.197,14.396,0.0241,4.57,-21.77,107.59
233,15.0,1.215,14.393,14.965,1.198,14.431,0.0549,4.58,-21.64,107.55
234,15.0,1.225,14.387,14.993,1.238,14.378,0.0172,4.72,-21.84,107.56
235,15.0,1.236,14.382,14.989,1.221,14.366,0.0248,4.66,-21.89,107.61
236,15.0,1.246,14.377,15.027,1.235,14.358,0.035,4.7,-21.91,107.47
237,15.0,1.257,14.372,14.988,1.251,14.388,0.0209,4.77,-21.8,107.55
238,15.0,1.267,14.366,15.0,1.256,14.344,0.0253,4.79,-21.97,107.61
239,15.0,1.278,14.361,15.007,1.259,14.361,0.0203,4.8,-21.9,107.53
240,15.0,1.289,14.356,15.002,1.309,14.354,0.0204,4.99,-21.93,107.55
241,15.0,1.3,14.35,15.008,1.299,14.374,0.0252,4.95,-21.85,107.49
242,15.0,1.31,14.345,15.002,1.324,14.335,0.0166,5.04,-22.01,107.6
243,15.0,1.321,14.339,14.977,1.32,14.348,0.025,5.04,-21.96,107.67
244,15.0,1.332,14.334,14.979,1.343,14.334,0.0237,5.12,-22.02,107.69
245,15.0,1.343,14.328,14.999,1.342,14.336,0.0075,5.11,-22.0,107.6
246,15.0,1.354,14.323,15.033,1.342,14.284,0.0527,5.1,-22.2,107.59
247,15.0,1.365,14.317,15.005,1.362,14.315,0.0065,5.19,-22.08,107.62
248,15.0,1.376,14.312,15.006,1.368,14.313,0.0101,5.21,-22.09,107.62
249,15.0,1.387,14.306,15.013,1.398,14.294,0.0211,5.32,-22.17,107.63
250,15.0,1.398,14.301,15.017,1.384,14.291,0.0243,5.27,-22.17,107.62
251,15.0,1.41,14.295,14.979,1.419,14.313,0.029,5.41,-22.1,107.71
252,15.0,1.421,14.29,14.995,1.394,14.287,0.0271,5.31,-22.2,107.72
253,15.0,1.432,14.284,14.972,1.452,14.292,0.0349,5.54,-22.18,107.78
254,15.0,1.444,14.278,14.974,1.433,14.288,0.0301,5.47,-22.2,107.79
255,15.0,1.455,14.273,15.012,1.469,14.257,0.0248,5.59,-22.31,107.7
256,15.0,1.466,14.267,15.015,1.446,14.272,0.0259,5.5,-22.25,107.65
257,15.0,1.478,14.261,15.013,1.465,14.266,0.0191,5.57,-22.27,107.67
258,15.0,1.489,14.255,14.993,1.506,14.254,0.018,5.74,-22.33,107.76
259,15.0,1.501,14.25,14.987,1.498,14.27,0.024,5.71,-22.27,107.75
260,15.0,1.513,14.244,15.007,1.53,14.24,0.0188,5.82,-22.38,107.74
261,15.0,1.524,14.238,14.994,1.498,14.263,0.0366,5.71,-22.29,107.74
262,15.0,1.536,14.232,14.984,1.548,14.236,0.0208,5.9,-22.4,107.83
263,15.0,1.548,14.226,15.014,1.547,14.225,0.0144,5.88,-22.43,107.73
264,15.0,1.56,14.22,15.023,1.538,14.213,0.0324,5.84,-22.48,107.74
265,15.0,1.571,14.214,14.992,1.577,14.22,0.0117,6.01,-22.46,107.83
266,15.0,1.583,14.208,15.013,1.578,14.217,0.0165,6.0,-22.47,107.75
267,15.0,1.595,14.202,15.002,1.589,14.204,0.0069,6.05,-22.52,107.82
268,15.0,1.607,14.196,15.005,1.607,14.189,0.009,6.11,-22.58,107.83
269,15.0,1.619,14.19,15.009,1.609,14.165,0.0286,6.12,-22.67,107.87
270,15.0,1.631,14.184,14.984,1.629,14.178,0.0172,6.2,-22.63,107.94
271,15.0,1.643,14.178,14.994,1.652,14.173,0.0117,6.29,-22.65,107.9
272,15.0,1.655,14.172,14.995,1.673,14.159,0.0223,6.37,-22.7,107.92
273,15.0,1.668,14.166,15.02,1.65,14.161,0.0277,6.27,-22.68,107.82
274,15.0,1.68,14.16,15.029,1.71,14.139,0.0471,6.49,-22.77,107.82
275,15.0,1.692,14.154,15.016,1.715,14.141,0.031,6.52,-22.77,107.86
276,15.0,1.705,14.148,15.045,1.715,14.115,0.0564,6.5,-22.86,107.81
277,15.0,1.717,14.142,15.047,1.719,14.121,0.0508,6.52,-22.83,107.78
278,15.0,1.729,14.135,14.988,1.727,14.151,0.0202,6.57,-22.73,107.94
279,15.0,1.742,14.129,14.99,1.728,14.138,0.0193,6.58,-22.78,107.97
280,15.0,1.754,14.123,15.009,1.747,14.13,0.0131,6.64,-22.81,107.9
281,15.0,1.767,14.117,15.036,1.768,14.099,0.04,6.7,-22.92,107.86
282,15.0,1.779,14.11,15.013,1.76,14.104,0.0238,6.69,-22.91,107.94
283,15.0,1.792,14.104,14.991,1.767,14.123,0.0328,6.72,-22.84,107.98
284,15.0,1.805,14.098,14.987,1.81,14.092,0.0153,6.89,-22.97,108.05
285,15.0,1.817,14.091,14.976,1.817,14.1,0.0254,6.92,-22.94,108.07
286,15.0,1.83,14.085,14.993,1.835,14.083,0.009,6.98,-23.0,108.04
287,15.0,1.843,14.078,14.994,1.843,14.08,0.0063,7.01,-23.01,108.04
288,15.0,1.856,14.072,14.977,1.826,14.097,0.045,6.95,-22.95,108.07
289,15.0,1.869,14.066,14.956,1.901,14.087,0.0583,7.24,-22.99,108.14
290,15.0,1.882,14.059,14.966,1.879,14.076,0.0376,7.16,-23.04,108.14
291,15.0,1.895,14.053,14.996,1.885,14.056,0.0106,7.17,-23.11,108.07
292,15.0,1.908,14.046,14.991,1.891,14.031,0.0247,7.19,-23.21,108.14
293,15.0,1.921,14.04,15.002,1.938,14.048,0.0187,7.36,-23.13,108.04
294,15.0,1.934,14.033,15.021,1.92,14.007,0.036,7.29,-23.29,108.07
295,15.0,1.947,14.026,15.024,1.942,14.015,0.0267,7.37,-23.26,108.03
296,15.0,1.96,14.02,14.959,1.976,14.042,0.0491,7.52,-23.17,108.2
297,15.0,1.974,14.013,14.968,1.964,14.031,0.0377,7.48,-23.21,108.2
298,15.0,1.987,14.006,15.031,1.986,13.996,0.0333,7.53,-23.33,108.02
299,15.0,2.0,14.0,14.987,1.985,14.001,0.02,7.55,-23.32,108.18
300,15.0,2.014,13.993,15.019,2.009,13.967,0.0329,7.62,-23.45,108.12
301,15.0,2.027,13.986,15.009,2.058,13.973,0.035,7.81,-23.42,108.12
302,15.0,2.041,13.98,15.005,2.028,13.96,0.0245,7.7,-23.48,108.19
303,15.0,2.054,13.973,15.006,2.067,13.955,0.0231,7.84,-23.5,108.17
304,15.0,2.068,13.966,14.987,2.062,13.951,0.0211,7.83,-23.52,108.26
305,15.0,2.081,13.96,14.987,2.061,13.96,0.0239,7.83,-23.48,108.24
306,15.0,2.094,13.953,14.987,2.084,13.961,0.0184,7.92,-23.48,108.23
307,15.0,2.108,13.946,15.016,2.097,13.926,0.0277,7.95,-23.61,108.19
308,15.0,2.121,13.939,15.013,2.104,13.911,0.0359,7.98,-23.67,108.23
309,15.0,2.135,13.933,14.974,2.123,13.949,0.0325,8.07,-23.53,108.28
310,15.0,2.148,13.926,15.008,2.138,13.927,0.0125,8.11,-23.6,108.2
311,15.0,2.161,13.919,15.005,2.172,13.937,0.0212,8.24,-23.56,108.16
312,15.0,2.175,13.913,15.037,2.202,13.896,0.0486,8.33,-23.71,108.11
313,15.0,2.188,13.906,14.985,2.182,13.922,0.0229,8.28,-23.63,108.27
314,15.0,2.202,13.899,15.004,2.192,13.917,0.0204,8.31,-23.64,108.2
315,15.0,2.215,13.892,15.016,2.227,13.878,0.0244,8.44,-23.79,108.22
