timestamp_ms,target_x,target_y,target_z,real_x,real_y,real_z,error,base_deg,shoulder_deg,elbow_deg,torque_shoulder,torque_elbow,limit_shoulder,limit_elbow,torque_base,limit_base
22,20.0,-0.004,19.989,20.002,0.0,19.617,0.3722,0.0,82.53,-112.06,6.66,5.63,54.0,8.1,-0.11,2.02
23,20.0,-0.005,19.988,20.002,-0.008,19.602,0.3855,-0.02,82.51,-112.08,6.66,5.62,54.0,8.1,-0.11,2.02
24,20.0,-0.005,19.987,20.025,-0.015,19.628,0.3597,-0.04,82.49,-111.97,6.66,5.62,54.0,8.1,-0.11,2.02
25,20.0,-0.006,19.985,20.006,0.008,19.638,0.3482,0.02,82.55,-112.02,6.65,5.62,54.0,8.1,-0.11,2.02
26,20.0,-0.006,19.984,20.009,0.031,19.673,0.3136,0.09,82.6,-111.95,6.65,5.62,54.0,8.1,-0.11,2.02
27,20.0,-0.007,19.983,20.029,0.008,19.62,0.3642,0.02,82.46,-111.97,6.65,5.62,54.0,8.1,-0.11,2.02
28,20.0,-0.007,19.982,20.029,0.008,19.62,0.3629,0.02,82.46,-111.97,6.65,5.62,54.0,8.1,-0.11,2.02
29,20.0,-0.008,19.98,19.998,0.0,19.596,0.3849,0.0,82.51,-112.1,6.65,5.62,54.0,8.1,-0.11,2.02
30,20.0,-0.008,19.979,19.991,0.008,19.554,0.4258,0.02,82.46,-112.19,6.65,5.62,54.0,8.1,-0.11,2.02
31,20.0,-0.009,19.978,20.002,0.0,19.588,0.3898,0.0,82.49,-112.1,6.65,5.62,54.0,8.1,-0.11,2.02
32,20.0,-0.009,19.976,19.998,-0.023,19.61,0.3665,-0.07,82.53,-112.08,6.65,5.62,54.0,8.1,-0.11,2.02
33,20.0,-0.01,19.975,20.014,0.0,19.608,0.367,0.0,82.49,-112.04,6.65,5.62,54.0,8.1,-0.11,2.02
34,20.0,-0.01,19.973,20.006,-0.038,19.623,0.3509,-0.11,82.53,-112.04,6.65,5.62,54.0,8.1,-0.11,2.02
35,20.0,-0.011,19.971,20.04,-0.008,19.655,0.3193,-0.02,82.49,-111.88,6.65,5.62,54.0,8.1,-0.11,2.02
36,20.0,-0.012,19.97,19.998,-0.023,19.639,0.3313,-0.07,82.57,-112.04,6.65,5.62,54.0,8.1,-0.11,2.02
37,20.0,-0.012,19.968,20.01,-0.015,19.601,0.3669,-0.04,82.49,-112.06,6.65,5.62,54.0,8.1,-0.11,2.02
38,20.0,-0.013,19.966,20.002,-0.023,19.617,0.3498,-0.07,82.53,-112.06,6.65,5.62,54.0,8.1,-0.11,2.02
39,20.0,-0.014,19.964,19.979,-0.031,19.591,0.3745,-0.09,82.55,-112.17,6.65,5.62,54.0,8.1,-0.11,2.02
40,20.0,-0.014,19.963,19.991,-0.038,19.568,0.3955,-0.11,82.49,-112.17,6.65,5.62,54.0,8.1,-0.11,2.02
41,20.0,-0.015,19.961,19.998,-0.015,19.581,0.3795,-0.04,82.49,-112.13,6.65,5.62,54.0,8.1,-0.11,2.02
42,20.0,-0.016,19.959,19.983,-0.023,19.626,0.333,-0.07,82.6,-112.1,6.65,5.62,54.0,8.1,-0.11,2.02
43,20.0,-0.017,19.957,19.987,-0.023,19.619,0.3385,-0.07,82.57,-112.1,6.65,5.62,54.0,8.1,-0.11,2.02
44,20.0,-0.017,19.955,20.002,-0.046,19.645,0.3108,-0.13,82.57,-112.02,6.65,5.62,54.0,8.1,-0.11,2.02
45,20.0,-0.018,19.953,19.987,-0.031,19.604,0.3489,-0.09,82.55,-112.13,6.65,5.62,54.0,8.1,-0.11,2.02
46,20.0,-0.019,19.951,19.991,0.0,19.611,0.3402,0.0,82.55,-112.1,6.65,5.61,54.0,8.1,-0.11,2.02
47,20.0,-0.02,19.948,19.979,-0.031,19.648,0.301,-0.09,82.64,-112.08,6.65,5.61,54.0,8.1,-0.11,2.02
48,20.0,-0.021,19.946,20.006,-0.061,19.58,0.3681,-0.18,82.46,-112.1,6.65,5.61,54.0,8.1,-0.11,2.02
49,20.0,-0.022,19.944,19.987,-0.031,19.604,0.3399,-0.09,82.55,-112.13,6.65,5.61,54.0,8.1,-0.11,2.02
50,20.0,-0.022,19.942,19.998,-0.046,19.538,0.4039,-0.13,82.42,-112.19,6.65,5.61,54.0,8.1,-0.11,2.02
51,20.0,-0.023,19.939,19.998,-0.031,19.596,0.3436,-0.09,82.51,-112.1,6.65,5.61,54.0,8.1,-0.11,2.02
52,20.0,-0.024,19.937,19.991,-0.054,19.539,0.3986,-0.15,82.44,-112.21,6.65,5.61,54.0,8.1,-0.11,2.02
53,20.0,-0.025,19.934,20.002,-0.046,19.602,0.3326,-0.13,82.51,-112.08,6.65,5.61,54.0,8.1,-0.11,2.02
54,20.0,-0.026,19.932,20.017,-0.046,19.586,0.3468,-0.13,82.44,-112.06,6.65,5.61,54.0,8.1,-0.11,2.02
55,20.0,-0.027,19.929,20.017,-0.015,19.572,0.3582,-0.04,82.42,-112.08,6.65,5.61,54.0,8.1,-0.11,2.02
56,20.0,-0.028,19.927,19.983,0.0,19.526,0.402,0.0,82.44,-112.26,6.65,5.61,54.0,8.1,-0.11,2.02
57,20.0,-0.029,19.924,19.979,-0.054,19.505,0.4202,-0.15,82.42,-112.3,6.65,5.61,54.0,8.1,-0.11,2.02
58,20.0,-0.03,19.921,19.995,-0.061,19.56,0.3624,-0.18,82.46,-112.17,6.65,5.61,54.0,8.1,-0.11,2.02
59,20.0,-0.031,19.919,19.995,0.0,19.56,0.3596,0.0,82.46,-112.17,6.65,5.61,54.0,8.1,-0.11,2.02
60,20.0,-0.032,19.916,19.979,-0.031,19.548,0.3683,-0.09,82.49,-112.24,6.65,5.61,54.0,8.1,-0.11,2.02
61,20.0,-0.033,19.913,19.983,-0.038,19.541,0.373,-0.11,82.46,-112.24,6.65,5.61,54.0,8.1,-0.11,2.02
62,20.0,-0.035,19.91,20.006,-0.046,19.552,0.3586,-0.13,82.42,-112.15,6.65,5.6,54.0,8.1,-0.11,2.02
63,20.0,-0.036,19.907,19.991,-0.023,19.497,0.411,-0.07,82.38,-112.28,6.65,5.6,54.0,8.1,-0.11,2.02
64,20.0,-0.037,19.904,20.01,-0.054,19.544,0.3607,-0.15,82.4,-112.15,6.65,5.6,54.0,8.1,-0.11,2.02
65,20.0,-0.038,19.901,20.006,-0.031,19.509,0.3926,-0.09,82.35,-112.21,6.65,5.6,54.0,8.1,-0.11,2.02
66,20.0,-0.039,19.898,20.017,-0.023,19.515,0.3845,-0.07,82.33,-112.17,6.65,5.6,54.0,8.1,-0.11,2.02
67,20.0,-0.04,19.895,20.01,-0.015,19.487,0.4091,-0.04,82.31,-112.24,6.65,5.6,54.0,8.1,-0.11,2.02
68,20.0,-0.042,19.892,20.002,-0.038,19.488,0.4041,-0.11,82.33,-112.26,6.65,5.6,54.0,8.1,-0.11,2.02
69,20.0,-0.043,19.889,19.994,-0.023,19.489,0.4003,-0.07,82.35,-112.28,6.65,5.6,54.0,8.1,-0.11,2.02
70,20.0,-0.044,19.886,20.017,-0.008,19.5,0.3874,-0.02,82.31,-112.19,6.65,5.6,54.0,8.1,-0.11,2.02
71,20.0,-0.045,19.882,19.998,-0.038,19.467,0.4153,-0.11,82.31,-112.3,6.65,5.6,54.0,8.1,-0.11,2.02
72,20.0,-0.047,19.879,20.021,-0.046,19.493,0.3869,-0.13,82.29,-112.19,6.65,5.6,54.0,8.1,-0.11,2.02
73,20.0,-0.048,19.876,19.998,-0.046,19.496,0.3799,-0.13,82.35,-112.26,6.65,5.6,54.0,8.1,-0.11,2.02
74,20.0,-0.049,19.872,19.994,-0.054,19.503,0.3688,-0.15,82.38,-112.26,6.65,5.6,54.0,8.1,-0.11,2.02
75,20.0,-0.051,19.869,20.013,-0.084,19.537,0.334,-0.24,82.38,-112.15,6.65,5.6,54.0,8.1,-0.11,2.02
76,20.0,-0.052,19.865,19.998,-0.061,19.51,0.3552,-0.18,82.38,-112.24,6.65,5.59,54.0,8.1,-0.11,2.02
77,20.0,-0.053,19.862,20.01,-0.069,19.544,0.3177,-0.2,82.4,-112.15,6.65,5.59,54.0,8.1,-0.11,2.02
78,20.0,-0.055,19.858,19.983,-0.054,19.526,0.3319,-0.15,82.44,-112.26,6.65,5.59,54.0,8.1,-0.11,2.02
79,20.0,-0.056,19.854,19.987,-0.023,19.476,0.3801,-0.07,82.35,-112.32,6.65,5.59,54.0,8.1,-0.11,2.02
80,20.0,-0.057,19.851,20.006,-0.084,19.48,0.3711,-0.24,82.31,-112.26,6.65,5.59,54.0,8.1,-0.11,2.02
81,20.0,-0.059,19.847,20.006,-0.084,19.495,0.3529,-0.24,82.33,-112.24,6.65,5.59,54.0,8.1,-0.11,2.02
82,20.0,-0.06,19.843,19.968,-0.084,19.5,0.3454,-0.24,82.44,-112.35,6.65,5.59,54.0,8.1,-0.11,2.02
83,20.0,-0.062,19.839,19.975,-0.069,19.513,0.3269,-0.2,82.44,-112.3,6.65,5.59,54.0,8.1,-0.11,2.02
84,20.0,-0.063,19.835,19.979,-0.031,19.491,0.3461,-0.09,82.4,-112.32,6.65,5.59,54.0,8.1,-0.11,2.02
85,20.0,-0.065,19.831,19.994,-0.031,19.446,0.3865,-0.09,82.29,-112.35,6.65,5.59,54.0,8.1,-0.11,2.02
86,20.0,-0.066,19.827,19.998,-0.084,19.453,0.3747,-0.24,82.29,-112.32,6.65,5.59,54.0,8.1,-0.11,2.02
87,20.0,-0.068,19.823,20.006,-0.054,19.466,0.3573,-0.15,82.29,-112.28,6.65,5.58,54.0,8.1,-0.11,2.02
88,20.0,-0.07,19.819,20.01,-0.054,19.487,0.3324,-0.15,82.31,-112.24,6.65,5.58,54.0,8.1,-0.11,2.02
89,20.0,-0.071,19.815,20.028,-0.092,19.463,0.3536,-0.26,82.22,-112.21,6.65,5.58,54.0,8.1,-0.11,2.02
90,20.0,-0.073,19.811,20.032,-0.1,19.456,0.3578,-0.29,82.2,-112.21,6.65,5.58,54.0,8.1,-0.11,2.02
91,20.0,-0.074,19.807,20.005,-0.115,19.452,0.3569,-0.33,82.27,-112.3,6.65,5.58,54.0,8.1,-0.11,2.02
92,20.0,-0.076,19.802,20.017,-0.069,19.458,0.3452,-0.2,82.24,-112.26,6.65,5.58,54.0,8.1,-0.11,2.02
93,20.0,-0.078,19.798,20.021,-0.069,19.45,0.3487,-0.2,82.22,-112.26,6.65,5.58,54.0,8.1,-0.11,2.02
94,20.0,-0.079,19.794,20.013,-0.107,19.494,0.3012,-0.31,82.31,-112.21,6.65,5.58,54.0,8.1,-0.11,2.02
95,20.0,-0.081,19.789,20.021,-0.115,19.436,0.3557,-0.33,82.2,-112.28,6.65,5.58,54.0,8.1,-0.11,2.02
96,20.0,-0.083,19.785,19.975,-0.084,19.471,0.3152,-0.24,82.38,-112.37,6.65,5.58,54.0,8.1,-0.11,2.02
97,20.0,-0.085,19.78,19.979,-0.107,19.406,0.3759,-0.31,82.27,-112.46,6.65,5.58,54.0,8.1,-0.11,2.02
98,20.0,-0.086,19.776,19.982,-0.092,19.398,0.3781,-0.26,82.24,-112.46,6.65,5.57,54.0,8.1,-0.11,2.02
99,20.0,-0.088,19.771,19.994,-0.107,19.447,0.3252,-0.31,82.29,-112.35,6.65,5.57,54.0,8.1,-0.11,2.02
100,20.0,-0.09,19.766,19.967,-0.084,19.429,0.3393,-0.24,82.33,-112.46,6.65,5.57,54.0,8.1,-0.11,2.02
101,20.0,-0.092,19.762,19.986,-0.1,19.433,0.3288,-0.29,82.29,-112.39,6.65,5.57,54.0,8.1,-0.11,2.02
102,20.0,-0.093,19.757,20.005,-0.1,19.424,0.3335,-0.29,82.22,-112.35,6.65,5.57,54.0,8.1,-0.11,2.02
103,20.0,-0.095,19.752,20.001,-0.1,19.417,0.3353,-0.29,82.22,-112.37,6.65,5.57,54.0,8.1,-0.11,2.02
104,20.0,-0.097,19.747,20.024,-0.108,19.428,0.3203,-0.31,82.18,-112.28,6.65,5.57,54.0,8.1,-0.11,2.02
105,20.0,-0.099,19.742,19.994,-0.115,19.389,0.3534,-0.33,82.2,-112.43,6.65,5.57,54.0,8.1,-0.11,2.02
106,20.0,-0.101,19.738,19.982,-0.069,19.384,0.3555,-0.2,82.22,-112.48,6.65,5.57,54.0,8.1,-0.11,2.02
107,20.0,-0.103,19.733,19.978,-0.1,19.363,0.3702,-0.29,82.2,-112.52,6.65,5.57,54.0,8.1,-0.11,2.02
108,20.0,-0.105,19.728,19.997,-0.13,19.382,0.3467,-0.37,82.18,-112.43,6.65,5.56,54.0,8.1,-0.11,2.02
109,20.0,-0.107,19.722,20.004,-0.115,19.324,0.3989,-0.33,82.07,-112.5,6.65,5.56,54.0,8.1,-0.11,2.02
110,20.0,-0.109,19.717,20.024,-0.115,19.357,0.3614,-0.33,82.07,-112.39,6.65,5.56,54.0,8.1,-0.11,2.02
111,20.0,-0.111,19.712,20.016,-0.115,19.358,0.3547,-0.33,82.09,-112.41,6.65,5.56,54.0,8.1,-0.11,2.02
112,20.0,-0.113,19.707,20.012,-0.138,19.366,0.3426,-0.4,82.11,-112.41,6.65,5.56,54.0,8.1,-0.11,2.02
113,20.0,-0.115,19.702,20.016,-0.154,19.358,0.3464,-0.44,82.09,-112.41,6.65,5.56,54.0,8.1,-0.11,2.02
114,20.0,-0.117,19.696,20.001,-0.092,19.346,0.3516,-0.26,82.11,-112.48,6.65,5.56,54.0,8.1,-0.11,2.02
115,20.0,-0.119,19.691,19.989,-0.161,19.312,0.382,-0.46,82.09,-112.57,6.65,5.56,54.0,8.1,-0.11,2.02
116,20.0,-0.121,19.686,20.012,-0.13,19.308,0.3775,-0.37,82.02,-112.5,6.65,5.56,54.0,8.1,-0.11,2.02
117,20.0,-0.123,19.68,20.012,-0.161,19.351,0.3313,-0.46,82.09,-112.43,6.65,5.55,54.0,8.1,-0.11,2.02
118,20.0,-0.125,19.675,20.004,-0.115,19.324,0.3511,-0.33,82.07,-112.5,6.65,5.55,54.0,8.1,-0.11,2.02
119,20.0,-0.127,19.669,20.004,-0.107,19.31,0.3602,-0.31,82.05,-112.52,6.65,5.55,54.0,8.1,-0.11,2.02
120,20.0,-0.129,19.664,19.981,-0.115,19.313,0.3516,-0.33,82.11,-112.59,6.65,5.55,54.0,8.1,-0.11,2.02
121,20.0,-0.132,19.658,19.989,-0.123,19.298,0.3608,-0.35,82.07,-112.59,6.65,5.55,54.0,8.1,-0.11,2.02
122,20.0,-0.134,19.652,20.004,-0.107,19.295,0.3579,-0.31,82.02,-112.54,6.65,5.55,54.0,8.1,-0.11,2.02
123,20.0,-0.136,19.647,20.004,-0.123,19.281,0.3657,-0.35,82.0,-112.57,6.65,5.55,54.0,8.1,-0.11,2.02
124,20.0,-0.138,19.641,20.019,-0.138,19.279,0.3623,-0.4,81.96,-112.52,6.65,5.55,54.0,8.1,-0.11,2.02
125,20.0,-0.14,19.635,20.015,-0.092,19.287,0.352,-0.26,81.98,-112.52,6.65,5.54,54.0,8.1,-0.11,2.02
126,20.0,-0.143,19.629,19.981,-0.1,19.256,0.3763,-0.29,82.02,-112.68,6.65,5.54,54.0,8.1,-0.11,2.02
127,20.0,-0.145,19.623,19.993,-0.13,19.319,0.3052,-0.37,82.09,-112.54,6.65,5.54,54.0,8.1,-0.11,2.02
128,20.0,-0.147,19.617,20.019,-0.131,19.265,0.3533,-0.37,81.94,-112.54,6.65,5.54,54.0,8.1,-0.11,2.02
129,20.0,-0.149,19.611,19.991,-0.199,19.219,0.3959,-0.57,81.94,-112.7,6.65,5.54,54.0,8.1,-0.11,2.02
130,20.0,-0.152,19.605,19.991,-0.138,19.219,0.3869,-0.4,81.94,-112.7,6.65,5.54,54.0,8.1,-0.11,2.02
131,20.0,-0.154,19.599,20.006,-0.146,19.217,0.3827,-0.42,81.89,-112.65,6.65,5.54,54.0,8.1,-0.11,2.02
132,20.0,-0.157,19.593,19.991,-0.138,19.205,0.389,-0.4,81.91,-112.72,6.65,5.54,54.0,8.1,-0.11,2.02
133,20.0,-0.159,19.587,20.007,-0.13,19.245,0.3429,-0.37,81.94,-112.61,6.65,5.53,54.0,8.1,-0.11,2.02
134,20.0,-0.161,19.581,20.01,-0.146,19.238,0.3435,-0.42,81.91,-112.61,6.65,5.53,54.0,8.1,-0.11,2.02
135,20.0,-0.164,19.574,19.995,-0.13,19.211,0.3647,-0.37,81.91,-112.7,6.65,5.53,54.0,8.1,-0.11,2.02
136,20.0,-0.166,19.568,19.969,-0.146,19.251,0.3196,-0.42,82.05,-112.72,6.65,5.53,54.0,8.1,-0.11,2.02
137,20.0,-0.169,19.562,20.003,-0.169,19.239,0.3229,-0.48,81.94,-112.63,6.65,5.53,54.0,8.1,-0.11,2.02
138,20.0,-0.171,19.555,20.018,-0.184,19.237,0.3194,-0.53,81.89,-112.59,6.65,5.53,54.0,8.1,-0.12,2.02
139,20.0,-0.174,19.549,20.001,-0.199,19.182,0.3679,-0.57,81.85,-112.72,6.65,5.53,54.0,8.1,-0.12,2.02
140,20.0,-0.176,19.542,19.983,-0.176,19.192,0.351,-0.51,81.91,-112.76,6.65,5.52,54.0,8.1,-0.12,2.02
141,20.0,-0.179,19.536,19.982,-0.192,19.177,0.3589,-0.55,81.89,-112.79,6.65,5.52,54.0,8.1,-0.12,2.02
142,20.0,-0.181,19.529,20.009,-0.169,19.181,0.3486,-0.48,81.83,-112.7,6.65,5.52,54.0,8.1,-0.12,2.02
143,20.0,-0.184,19.522,20.001,-0.169,19.153,0.3693,-0.48,81.8,-112.76,6.65,5.52,54.0,8.1,-0.12,2.02
144,20.0,-0.186,19.516,20.0,-0.222,19.139,0.3783,-0.64,81.78,-112.79,6.65,5.52,54.0,8.1,-0.12,2.02
145,20.0,-0.189,19.509,20.0,-0.199,19.111,0.3984,-0.57,81.74,-112.83,6.65,5.52,54.0,8.1,-0.12,2.02
146,20.0,-0.191,19.502,19.982,-0.192,19.149,0.3536,-0.55,81.85,-112.83,6.65,5.52,54.0,8.1,-0.12,2.02
147,20.0,-0.194,19.495,20.007,-0.207,19.11,0.3859,-0.59,81.72,-112.81,6.65,5.51,54.0,8.1,-0.12,2.02
148,20.0,-0.197,19.488,20.009,-0.192,19.167,0.3219,-0.55,81.8,-112.72,6.65,5.51,54.0,8.1,-0.12,2.02
149,20.0,-0.199,19.481,20.023,-0.192,19.136,0.3463,-0.55,81.72,-112.72,6.65,5.51,54.0,8.1,-0.12,2.02
150,20.0,-0.202,19.474,19.989,-0.192,19.12,0.3552,-0.55,81.78,-112.85,6.65,5.51,54.0,8.1,-0.12,2.02
151,20.0,-0.205,19.467,20.009,-0.192,19.167,0.3011,-0.55,81.8,-112.72,6.65,5.51,54.0,8.1,-0.12,2.02
152,20.0,-0.208,19.46,19.992,-0.207,19.098,0.3627,-0.59,81.74,-112.87,6.65,5.51,54.0,8.1,-0.12,2.02
153,20.0,-0.21,19.453,19.991,-0.215,19.084,0.3698,-0.62,81.72,-112.9,6.65,5.51,54.0,8.1,-0.12,2.02
154,20.0,-0.213,19.446,20.012,-0.207,19.131,0.3157,-0.59,81.74,-112.76,6.65,5.5,54.0,8.1,-0.12,2.02
155,20.0,-0.216,19.439,19.983,-0.215,19.056,0.3829,-0.62,81.69,-112.96,6.65,5.5,54.0,8.1,-0.12,2.02
156,20.0,-0.219,19.432,20.009,-0.215,19.017,0.4148,-0.62,81.56,-112.94,6.65,5.5,54.0,8.1,-0.12,2.02
157,20.0,-0.221,19.424,19.991,-0.207,19.069,0.3552,-0.59,81.69,-112.92,6.65,5.5,54.0,8.1,-0.12,2.02
158,20.0,-0.224,19.417,20.013,-0.223,19.038,0.3794,-0.64,81.58,-112.9,6.65,5.5,54.0,8.1,-0.12,2.02
159,20.0,-0.227,19.41,20.005,-0.23,19.025,0.3849,-0.66,81.58,-112.94,6.65,5.5,54.0,8.1,-0.12,2.02
160,20.0,-0.23,19.402,20.016,-0.23,19.03,0.3723,-0.66,81.56,-112.9,6.65,5.49,54.0,8.1,-0.12,2.02
161,20.0,-0.233,19.395,19.976,-0.23,18.965,0.4305,-0.66,81.56,-113.12,6.65,5.49,54.0,8.1,-0.12,2.02
162,20.0,-0.236,19.387,19.988,-0.268,18.999,0.39,-0.77,81.58,-113.03,6.65,5.49,54.0,8.1,-0.12,2.02
163,20.0,-0.239,19.379,20.004,-0.253,18.996,0.3834,-0.73,81.54,-112.98,6.65,5.49,54.0,8.1,-0.12,2.02
164,20.0,-0.242,19.372,19.989,-0.238,18.999,0.3734,-0.68,81.58,-113.03,6.65,5.49,54.0,8.1,-0.12,2.02
165,20.0,-0.245,19.364,20.008,-0.23,19.017,0.3474,-0.66,81.56,-112.94,6.65,5.49,54.0,8.1,-0.12,2.02
166,20.0,-0.248,19.356,20.001,-0.23,19.033,0.3243,-0.66,81.61,-112.94,6.65,5.49,54.0,8.1,-0.12,2.02
167,20.0,-0.251,19.349,20.011,-0.238,18.967,0.3821,-0.68,81.47,-113.01,6.65,5.48,54.0,8.1,-0.12,2.02
168,20.0,-0.254,19.341,20.001,-0.261,19.018,0.3225,-0.75,81.58,-112.96,6.65,5.48,54.0,8.1,-0.12,2.02
169,20.0,-0.257,19.333,20.025,-0.269,18.95,0.3834,-0.77,81.41,-112.98,6.65,5.48,54.0,8.1,-0.12,2.02
170,20.0,-0.26,19.325,20.022,-0.253,18.972,0.3533,-0.73,81.45,-112.96,6.65,5.48,54.0,8.1,-0.12,2.02
171,20.0,-0.263,19.317,20.014,-0.23,18.945,0.3735,-0.66,81.43,-113.03,6.65,5.48,54.0,8.1,-0.12,2.02
172,20.0,-0.266,19.309,19.995,-0.284,18.984,0.326,-0.81,81.54,-113.03,6.65,5.48,54.0,8.1,-0.12,2.02
173,20.0,-0.269,19.301,19.998,-0.253,18.933,0.368,-0.73,81.45,-113.09,6.65,5.47,54.0,8.1,-0.12,2.02
174,20.0,-0.272,19.293,20.003,-0.276,18.968,0.3246,-0.79,81.5,-113.03,6.65,5.47,54.0,8.1,-0.12,2.02
175,20.0,-0.275,19.285,19.98,-0.276,18.972,0.3136,-0.79,81.56,-113.09,6.65,5.47,54.0,8.1,-0.12,2.02
176,20.0,-0.278,19.276,19.987,-0.291,18.971,0.3064,-0.83,81.54,-113.07,6.65,5.47,54.0,8.1,-0.12,2.02
177,20.0,-0.281,19.268,19.974,-0.291,18.908,0.3608,-0.83,81.47,-113.2,6.65,5.47,54.0,8.1,-0.12,2.02
178,20.0,-0.285,19.26,20.006,-0.261,18.932,0.3285,-0.75,81.43,-113.07,6.65,5.47,54.0,8.1,-0.12,2.02
179,20.0,-0.288,19.252,19.994,-0.314,18.941,0.3116,-0.9,81.47,-113.09,6.65,5.46,54.0,8.1,-0.12,2.02
180,20.0,-0.291,19.243,19.985,-0.299,18.914,0.3297,-0.86,81.45,-113.16,6.65,5.46,54.0,8.1,-0.12,2.02
181,20.0,-0.294,19.235,20.004,-0.315,18.811,0.424,-0.9,81.23,-113.25,6.65,5.46,54.0,8.1,-0.12,2.02
182,20.0,-0.298,19.226,20.012,-0.322,18.824,0.403,-0.92,81.23,-113.2,6.65,5.46,54.0,8.1,-0.12,2.02
183,20.0,-0.301,19.218,20.006,-0.307,18.868,0.3498,-0.88,81.32,-113.16,6.65,5.46,54.0,8.1,-0.12,2.02
184,20.0,-0.304,19.209,19.992,-0.299,18.885,0.3248,-0.86,81.39,-113.18,6.65,5.45,54.0,8.1,-0.12,2.02
185,20.0,-0.307,19.201,19.99,-0.337,18.842,0.3599,-0.97,81.32,-113.25,6.65,5.45,54.0,8.1,-0.12,2.02
186,20.0,-0.311,19.192,19.972,-0.283,18.866,0.328,-0.81,81.41,-113.27,6.65,5.45,54.0,8.1,-0.12,2.02
187,20.0,-0.314,19.183,20.004,-0.33,18.812,0.3721,-0.94,81.23,-113.25,6.65,5.45,54.0,8.1,-0.12,2.02
188,20.0,-0.318,19.174,19.978,-0.306,18.823,0.3526,-0.88,81.32,-113.31,6.65,5.45,54.0,8.1,-0.12,2.02
189,20.0,-0.321,19.166,20.012,-0.307,18.81,0.3557,-0.88,81.21,-113.23,6.65,5.45,54.0,8.1,-0.12,2.02
190,20.0,-0.324,19.157,20.022,-0.353,18.802,0.3571,-1.01,81.17,-113.2,6.65,5.44,54.0,8.1,-0.12,2.02
191,20.0,-0.328,19.148,20.017,-0.338,18.767,0.3817,-0.97,81.12,-113.27,6.65,5.44,54.0,8.1,-0.12,2.02
