timestamp_ms,command_id,target_x,target_y,real_x,real_y,error,motor1_pos,motor2_pos,motor1_vel,motor2_vel,velocity,pwm_effort,hz
25,1,24.984,8.0,24.973,8.024,0.026,-11.22,58.07,-3.86,9.39,20.0,127,1000
26,1,24.983,8.0,24.991,7.981,0.021,-11.31,58.04,-4.01,9.76,20.0,127,1000
27,1,24.982,8.0,24.968,8.036,0.039,-11.19,58.07,-4.17,10.14,20.0,127,1000
28,1,24.98,8.0,24.976,7.993,0.008,-11.31,58.12,-4.32,10.51,20.0,127,1000
29,1,24.979,8.0,24.98,8.002,0.002,-11.27,58.06,-4.47,10.88,20.0,127,1000
30,1,24.977,8.0,24.968,8.027,0.029,-11.23,58.1,-4.63,11.26,20.0,127,1000
31,1,24.976,8.0,24.97,8.009,0.011,-11.28,58.12,-4.78,11.63,20.0,127,1000
32,1,24.974,8.0,24.977,8.007,0.008,-11.26,58.07,-4.93,12.0,20.0,127,1000
33,1,24.973,8.0,24.967,8.003,0.007,-11.31,58.16,-5.09,12.38,20.0,127,1000
34,1,24.971,8.0,24.981,7.989,0.015,-11.31,58.09,-5.24,12.75,20.0,127,1000
35,1,24.969,8.0,24.972,8.002,0.003,-11.3,58.12,-5.39,13.12,20.0,127,1000
36,1,24.968,8.0,24.959,8.038,0.039,-11.22,58.14,-5.54,13.49,20.0,127,1000
37,1,24.966,8.0,24.981,7.973,0.032,-11.36,58.13,-5.7,13.86,20.0,127,1000
38,1,24.964,8.0,24.972,7.98,0.021,-11.37,58.18,-5.85,14.24,20.0,127,1000
39,1,24.962,8.0,24.957,7.977,0.024,-11.42,58.3,-6.0,14.61,20.0,127,1000
40,1,24.96,8.0,24.947,8.001,0.013,-11.37,58.31,-6.15,14.98,20.0,127,1000
41,1,24.958,8.0,24.956,7.992,0.009,-11.38,58.27,-6.3,15.35,20.0,127,1000
42,1,24.956,8.0,24.948,7.998,0.008,-11.38,58.31,-6.46,15.72,20.0,127,1000
43,1,24.954,8.0,24.944,8.001,0.01,-11.39,58.34,-6.61,16.09,20.0,127,1000
44,1,24.952,8.0,24.958,7.974,0.027,-11.43,58.3,-6.76,16.46,20.0,127,1000
45,1,24.949,8.0,24.941,8.01,0.013,-11.36,58.34,-6.91,16.83,20.0,127,1000
46,1,24.947,8.0,24.934,8.025,0.028,-11.34,58.35,-7.06,17.2,20.0,127,1000
47,1,24.945,8.0,24.931,8.007,0.016,-11.41,58.42,-7.21,17.57,20.0,127,1000
48,1,24.942,8.0,24.937,7.997,0.006,-11.42,58.39,-7.36,17.94,20.0,127,1000
49,1,24.94,8.0,24.946,8.011,0.013,-11.34,58.3,-7.51,18.3,20.0,127,1000
50,1,24.937,8.0,24.937,7.989,0.011,-11.44,58.41,-7.66,18.67,20.0,127,1000
51,1,24.935,8.0,24.945,7.993,0.012,-11.41,58.35,-7.81,19.04,20.0,127,1000
52,1,24.932,8.0,24.931,7.989,0.011,-11.46,58.46,-7.96,19.41,20.0,127,1000
53,1,24.93,8.0,24.915,8.034,0.037,-11.36,58.47,-8.11,19.77,20.0,127,1000
54,1,24.927,8.0,24.923,8.023,0.023,-11.38,58.44,-8.26,20.14,20.0,127,1000
55,1,24.924,8.0,24.904,8.049,0.053,-11.35,58.52,-8.41,20.51,20.0,127,1000
56,1,24.921,8.0,24.902,8.031,0.037,-11.41,58.57,-8.56,20.87,20.0,127,1000
57,1,24.919,8.0,24.911,8.038,0.039,-11.36,58.49,-8.71,21.24,20.0,127,1000
58,1,24.916,8.0,24.936,7.987,0.024,-11.45,58.43,-8.86,21.6,20.0,127,1000
59,1,24.913,8.0,24.906,8.045,0.045,-11.36,58.52,-9.01,21.97,20.0,127,1000
60,1,24.91,8.0,24.93,7.951,0.053,-11.59,58.56,-9.15,22.33,20.0,127,1000
61,1,24.907,8.0,24.911,7.961,0.039,-11.62,58.68,-9.3,22.7,20.0,127,1000
62,1,24.904,8.0,24.927,7.972,0.036,-11.53,58.54,-9.45,23.06,20.0,127,1000
63,1,24.901,8.0,24.895,8.001,0.006,-11.53,58.7,-9.6,23.42,20.0,127,1000
64,1,24.897,8.0,24.906,7.971,0.031,-11.6,58.69,-9.74,23.79,20.0,127,1000
65,1,24.894,8.0,24.904,7.985,0.018,-11.56,58.67,-9.89,24.15,20.0,127,1000
66,1,24.891,8.0,24.891,8.01,0.01,-11.52,58.71,-10.04,24.51,20.0,127,1000
67,1,24.888,8.0,24.88,8.014,0.016,-11.54,58.78,-10.19,24.87,20.0,127,1000
68,1,24.884,8.0,24.87,8.036,0.039,-11.49,58.8,-10.33,25.23,20.0,127,1000
69,1,24.881,8.0,24.895,7.974,0.03,-11.62,58.76,-10.48,25.59,20.0,127,1000
70,1,24.877,8.0,24.883,7.974,0.026,-11.66,58.85,-10.62,25.95,20.0,127,1000
71,1,24.874,8.0,24.882,7.993,0.011,-11.6,58.82,-10.77,26.31,20.0,127,1000
72,1,24.87,8.0,24.877,7.973,0.028,-11.68,58.9,-10.91,26.67,20.0,127,1000
73,1,24.867,8.0,24.832,8.056,0.066,-11.54,59.04,-11.06,27.03,20.0,127,1000
74,1,24.863,8.0,24.864,7.999,0.002,-11.63,58.93,-11.2,27.39,20.0,127,1000
75,1,24.859,8.0,24.853,8.015,0.016,-11.61,58.97,-11.35,27.75,20.0,127,1000
76,1,24.855,8.0,24.838,8.041,0.045,-11.57,59.03,-11.49,28.11,20.0,127,1000
77,1,24.852,8.0,24.847,7.994,0.008,-11.7,59.07,-11.64,28.46,20.0,127,1000
78,1,24.848,8.0,24.849,8.014,0.014,-11.63,59.01,-11.78,28.82,20.0,127,1000
79,1,24.844,8.0,24.855,7.98,0.023,-11.72,59.04,-11.93,29.17,20.0,127,1000
80,1,24.84,8.0,24.828,8.036,0.038,-11.62,59.12,-12.07,29.53,20.0,127,1000
81,1,24.836,8.0,24.846,8.0,0.01,-11.68,59.06,-12.21,29.89,20.0,127,1000
82,1,24.832,8.0,24.831,8.017,0.017,-11.67,59.14,-12.35,30.24,20.0,127,1000
83,1,24.827,8.0,24.826,8.018,0.018,-11.69,59.17,-12.5,30.59,20.0,127,1000
84,1,24.823,8.0,24.837,7.972,0.031,-11.8,59.2,-12.64,30.95,20.0,127,1000
85,1,24.819,8.0,24.826,8.002,0.008,-11.74,59.2,-12.78,31.3,20.0,127,1000
86,1,24.815,8.0,24.811,8.008,0.009,-11.76,59.31,-12.92,31.65,20.0,127,1000
87,1,24.81,8.0,24.807,8.006,0.007,-11.78,59.34,-13.06,32.0,20.0,127,1000
88,1,24.806,8.0,24.804,8.0,0.002,-11.81,59.38,-13.2,32.36,20.0,127,1000
89,1,24.802,8.0,24.818,7.98,0.026,-11.84,59.32,-13.35,32.71,20.0,127,1000
90,1,24.797,8.0,24.807,7.976,0.026,-11.88,59.41,-13.49,33.06,20.0,127,1000
91,1,24.793,8.0,24.795,7.966,0.035,-11.95,59.52,-13.63,33.41,20.0,127,1000
92,1,24.788,8.0,24.785,7.991,0.009,-11.9,59.54,-13.77,33.76,20.0,127,1000
93,1,24.783,8.0,24.785,8.013,0.013,-11.83,59.49,-13.9,34.1,20.0,127,1000
94,1,24.779,8.0,24.78,7.997,0.003,-11.89,59.56,-14.04,34.45,20.0,127,1000
95,1,24.774,8.0,24.783,7.973,0.028,-11.96,59.59,-14.18,34.8,20.0,127,1000
96,1,24.769,8.0,24.765,7.97,0.03,-12.02,59.73,-14.32,35.15,20.0,127,1000
97,1,24.764,8.0,24.775,7.983,0.02,-11.95,59.63,-14.46,35.49,20.0,127,1000
98,1,24.76,8.0,24.721,8.036,0.052,-11.94,59.89,-14.6,35.84,20.0,127,1000
99,1,24.755,8.0,24.766,7.986,0.018,-11.97,59.69,-14.73,36.18,20.0,127,1000
100,1,24.75,8.0,24.746,8.004,0.005,-11.97,59.79,-14.87,36.53,20.0,127,1000
101,1,24.745,8.0,24.742,8.002,0.003,-11.99,59.82,-15.01,36.87,20.0,127,1000
102,1,24.739,8.0,24.748,7.992,0.012,-12.01,59.8,-15.14,37.22,20.0,127,1000
103,1,24.734,8.0,24.733,8.025,0.025,-11.94,59.83,-15.28,37.56,20.0,127,1000
104,1,24.729,8.0,24.732,7.97,0.03,-12.12,59.97,-15.42,37.9,20.0,127,1000
105,1,24.724,8.0,24.736,7.977,0.026,-12.09,59.92,-15.55,38.24,20.0,127,1000
106,1,24.719,8.0,24.725,8.0,0.006,-12.05,59.96,-15.69,38.58,20.0,127,1000
107,1,24.713,8.0,24.717,7.99,0.01,-12.1,60.03,-15.82,38.92,20.0,127,1000
108,1,24.708,8.0,24.694,8.028,0.031,-12.05,60.11,-15.96,39.26,20.0,127,1000
109,1,24.702,8.0,24.711,7.962,0.039,-12.21,60.14,-16.09,39.6,20.0,127,1000
110,1,24.697,8.0,24.68,8.011,0.021,-12.14,60.26,-16.22,39.94,20.0,127,1000
111,1,24.691,8.0,24.684,7.997,0.008,-12.18,60.25,-16.36,40.28,20.0,127,1000
112,1,24.686,8.0,24.676,8.024,0.026,-12.11,60.25,-16.49,40.62,20.0,127,1000
113,1,24.68,8.0,24.684,8.014,0.015,-12.12,60.21,-16.62,40.95,20.0,127,1000
114,1,24.675,8.0,24.667,8.003,0.008,-12.21,60.36,-16.76,41.29,20.0,127,1000
115,1,24.669,8.0,24.642,8.025,0.036,-12.21,60.49,-16.89,41.63,20.0,127,1000
116,1,24.663,8.0,24.658,7.997,0.006,-12.26,60.45,-17.02,41.96,20.0,127,1000
117,1,24.657,8.0,24.645,8.025,0.027,-12.2,60.47,-17.15,42.29,20.0,127,1000
118,1,24.651,8.0,24.654,8.009,0.009,-12.23,60.45,-17.28,42.63,20.0,127,1000
119,1,24.645,8.0,24.624,8.034,0.04,-12.23,60.6,-17.41,42.96,20.0,127,1000
120,1,24.639,8.0,24.661,7.95,0.054,-12.4,60.53,-17.54,43.29,20.0,127,1000
121,1,24.633,8.0,24.641,7.989,0.014,-12.33,60.59,-17.67,43.62,20.0,127,1000
122,1,24.627,8.0,24.609,8.044,0.048,-12.24,60.68,-17.8,43.95,20.0,127,1000
123,1,24.621,8.0,24.616,8.018,0.019,-12.31,60.7,-17.93,44.28,20.0,127,1000
124,1,24.615,8.0,24.616,7.99,0.01,-12.4,60.76,-18.06,44.61,20.0,127,1000
125,1,24.609,8.0,24.591,8.02,0.027,-12.37,60.87,-18.19,44.94,20.0,127,1000
126,1,24.602,8.0,24.617,7.989,0.018,-12.4,60.75,-18.31,45.27,20.0,127,1000
127,1,24.596,8.0,24.598,8.016,0.016,-12.37,60.84,-18.44,45.6,20.0,127,1000
128,1,24.59,8.0,24.594,8.003,0.005,-12.42,60.89,-18.57,45.93,20.0,127,1000
129,1,24.583,8.0,24.568,8.008,0.017,-12.48,61.06,-18.69,46.25,20.0,127,1000
130,1,24.577,8.0,24.583,7.98,0.02,-12.53,61.02,-18.82,46.58,20.0,127,1000
131,1,24.57,8.0,24.578,7.991,0.012,-12.51,61.03,-18.95,46.9,20.0,127,1000
132,1,24.564,8.0,24.553,8.021,0.024,-12.48,61.14,-19.07,47.22,20.0,127,1000
133,1,24.557,8.0,24.571,7.977,0.027,-12.57,61.12,-19.2,47.55,20.0,127,1000
134,1,24.55,8.0,24.573,7.965,0.041,-12.6,61.13,-19.32,47.87,20.0,127,1000
135,1,24.544,8.0,24.545,7.985,0.015,-12.62,61.28,-19.45,48.19,20.0,127,1000
136,1,24.537,8.0,24.533,8.016,0.017,-12.55,61.3,-19.57,48.51,20.0,127,1000
137,1,24.53,8.0,24.523,8.004,0.008,-12.62,61.39,-19.69,48.83,20.0,127,1000
138,1,24.523,8.0,24.526,7.974,0.026,-12.71,61.44,-19.82,49.15,20.0,127,1000
139,1,24.516,8.0,24.52,7.999,0.003,-12.65,61.43,-19.94,49.47,20.0,127,1000
140,1,24.509,8.0,24.494,8.013,0.02,-12.68,61.58,-20.06,49.79,20.0,127,1000
141,1,24.502,8.0,24.486,8.05,0.053,-12.58,61.55,-20.18,50.11,20.0,127,1000
142,1,24.495,8.0,24.491,8.007,0.008,-12.7,61.61,-20.3,50.43,20.0,127,1000
143,1,24.488,8.0,24.475,8.018,0.023,-12.71,61.7,-20.42,50.74,20.0,127,1000
144,1,24.481,8.0,24.488,7.977,0.024,-12.81,61.71,-20.55,51.06,20.0,127,1000
145,1,24.474,8.0,24.443,8.053,0.062,-12.69,61.85,-20.67,51.37,20.0,127,1000
146,1,24.466,8.0,24.453,8.043,0.045,-12.7,61.8,-20.78,51.69,20.0,127,1000
147,1,24.459,8.0,24.454,7.997,0.005,-12.84,61.9,-20.9,52.0,20.0,127,1000
148,1,24.452,8.0,24.467,7.98,0.025,-12.86,61.85,-21.02,52.31,20.0,127,1000
149,1,24.444,8.0,24.456,7.985,0.019,-12.87,61.91,-21.14,52.62,20.0,127,1000
150,1,24.437,8.0,24.434,7.99,0.01,-12.92,62.06,-21.26,52.93,20.0,127,1000
151,1,24.429,8.0,24.439,7.984,0.019,-12.93,62.04,-21.38,53.24,20.0,127,1000
152,1,24.421,8.0,24.428,7.999,0.006,-12.91,62.08,-21.49,53.55,20.0,127,1000
153,1,24.414,8.0,24.383,8.035,0.047,-12.92,62.31,-21.61,53.86,20.0,127,1000
154,1,24.406,8.0,24.399,8.028,0.029,-12.89,62.21,-21.73,54.17,20.0,127,1000
155,1,24.398,8.0,24.385,8.011,0.017,-12.99,62.35,-21.84,54.48,20.0,127,1000
156,1,24.391,8.0,24.378,7.984,0.02,-13.1,62.46,-21.96,54.78,20.0,127,1000
157,1,24.383,8.0,24.369,8.014,0.02,-13.02,62.46,-22.07,55.09,20.0,127,1000
158,1,24.375,8.0,24.354,8.042,0.047,-12.98,62.5,-22.19,55.4,20.0,127,1000
159,1,24.367,8.0,24.392,7.953,0.054,-13.16,62.44,-22.3,55.7,20.0,127,1000
160,1,24.359,8.0,24.364,7.992,0.01,-13.11,62.55,-22.41,56.0,20.0,127,1000
161,1,24.351,8.0,24.347,8.04,0.04,-13.0,62.55,-22.53,56.31,20.0,127,1000
162,1,24.343,8.0,24.358,7.997,0.015,-13.11,62.58,-22.64,56.61,20.0,127,1000
163,1,24.335,8.0,24.334,7.977,0.023,-13.24,62.79,-22.75,56.91,20.0,127,1000
164,1,24.327,8.0,24.348,7.966,0.04,-13.24,62.71,-22.86,57.21,20.0,127,1000
165,1,24.318,8.0,24.338,7.961,0.044,-13.29,62.8,-22.98,57.51,20.0,127,1000
166,1,24.31,8.0,24.322,7.974,0.029,-13.29,62.88,-23.09,57.81,20.0,127,1000
167,1,24.302,8.0,24.297,8.002,0.005,-13.27,62.99,-23.2,58.11,20.0,127,1000
168,1,24.293,8.0,24.283,8.029,0.031,-13.22,63.02,-23.31,58.4,20.0,127,1000
169,1,24.285,8.0,24.283,7.996,0.005,-13.33,63.1,-23.42,58.7,20.0,127,1000
170,1,24.276,8.0,24.258,8.013,0.023,-13.34,63.24,-23.53,59.0,20.0,127,1000
171,1,24.268,8.0,24.249,8.011,0.022,-13.37,63.3,-23.63,59.29,20.0,127,1000
172,1,24.259,8.0,24.265,7.981,0.02,-13.42,63.26,-23.74,59.59,20.0,127,1000
173,1,24.251,8.0,24.25,8.001,0.001,-13.4,63.31,-23.85,59.88,20.0,127,1000
174,1,24.242,8.0,24.234,7.999,0.008,-13.45,63.43,-23.96,60.17,20.0,127,1000
175,1,24.233,8.0,24.218,8.003,0.016,-13.48,63.53,-24.06,60.47,20.0,127,1000
176,1,24.224,8.0,24.219,7.994,0.008,-13.51,63.55,-24.17,60.76,20.0,127,1000
177,1,24.216,8.0,24.217,8.006,0.006,-13.47,63.53,-24.28,61.05,20.0,127,1000
178,1,24.207,8.0,24.189,8.015,0.023,-13.52,63.7,-24.38,61.34,20.0,127,1000
179,1,24.198,8.0,24.198,7.989,0.011,-13.58,63.7,-24.49,61.63,20.0,127,1000
180,1,24.189,8.0,24.163,8.051,0.057,-13.47,63.8,-24.59,61.91,20.0,127,1000
181,1,24.18,8.0,24.162,8.014,0.022,-13.6,63.89,-24.7,62.2,20.0,127,1000
182,1,24.171,8.0,24.185,7.993,0.016,-13.6,63.78,-24.8,62.49,20.0,127,1000
183,1,24.161,8.0,24.162,8.009,0.009,-13.61,63.91,-24.9,62.77,20.0,127,1000
184,1,24.152,8.0,24.152,8.016,0.016,-13.62,63.95,-25.01,63.06,20.0,127,1000
185,1,24.143,8.0,24.17,7.966,0.043,-13.73,63.95,-25.11,63.34,20.0,127,1000
186,1,24.134,8.0,24.125,8.012,0.014,-13.7,64.15,-25.21,63.63,20.0,127,1000
187,1,24.124,8.0,24.123,8.033,0.033,-13.64,64.12,-25.31,63.91,20.0,127,1000
188,1,24.115,8.0,24.113,7.999,0.003,-13.78,64.26,-25.41,64.19,20.0,127,1000
189,1,24.106,8.0,24.108,8.0,0.002,-13.79,64.3,-25.51,64.47,20.0,127,1000
190,1,24.096,8.0,24.088,8.02,0.022,-13.77,64.38,-25.61,64.75,20.0,127,1000
191,1,24.087,8.0,24.067,8.018,0.026,-13.84,64.53,-25.71,65.03,20.0,127,1000
192,1,24.077,8.0,24.079,8.007,0.007,-13.84,64.48,-25.81,65.31,20.0,127,1000
193,1,24.067,8.0,24.066,7.995,0.005,-13.92,64.59,-25.91,65.59,20.0,127,1000
194,1,24.058,8.0,24.049,8.042,0.042,-13.81,64.6,-26.01,65.87,20.0,127,1000
195,1,24.048,8.0,24.064,7.965,0.038,-14.02,64.67,-26.1,66.15,20.0,127,1000
196,1,24.038,8.0,24.064,7.962,0.046,-14.03,64.68,-26.2,66.42,20.0,127,1000
197,1,24.028,8.0,24.032,8.003,0.005,-13.98,64.8,-26.3,66.7,20.0,127,1000
198,1,24.018,8.0,23.988,8.046,0.055,-13.96,65.0,-26.39,66.97,20.0,127,1000
199,1,24.008,8.0,24.019,7.989,0.015,-14.06,64.92,-26.49,67.24,20.0,127,1000
200,1,23.998,8.0,23.995,8.018,0.018,-14.03,65.02,-26.58,67.52,20.0,127,1000
201,1,23.988,8.0,23.964,8.013,0.027,-14.13,65.24,-26.68,67.79,20.0,127,1000
202,1,23.978,8.0,23.974,7.983,0.017,-14.2,65.24,-26.77,68.06,20.0,127,1000
203,1,23.968,8.0,23.966,7.981,0.019,-14.23,65.29,-26.87,68.33,20.0,127,1000
204,1,23.958,8.0,23.935,8.026,0.035,-14.16,65.41,-26.96,68.6,20.0,127,1000
205,1,23.948,8.0,23.898,8.109,0.12,-13.99,65.46,-27.05,68.87,20.0,127,1000
206,1,23.937,8.0,23.931,8.018,0.019,-14.2,65.45,-27.15,69.14,20.0,127,1000
207,1,23.927,8.0,23.944,7.967,0.037,-14.33,65.47,-27.24,69.4,20.0,127,1000
208,1,23.917,8.0,23.903,8.032,0.035,-14.23,65.61,-27.33,69.67,20.0,127,1000
209,1,23.906,8.0,23.92,7.97,0.033,-14.38,65.63,-27.42,69.94,20.0,127,1000
210,1,23.896,8.0,23.871,8.033,0.041,-14.31,65.81,-27.51,70.2,20.0,127,1000
211,1,23.885,8.0,23.87,8.003,0.016,-14.41,65.89,-27.6,70.47,20.0,127,1000
212,1,23.875,8.0,23.865,8.002,0.01,-14.43,65.93,-27.69,70.73,20.0,127,1000
213,1,23.864,8.0,23.878,7.98,0.024,-14.46,65.89,-27.78,70.99,20.0,127,1000
214,1,23.853,8.0,23.834,8.033,0.039,-14.4,66.06,-27.87,71.25,20.0,127,1000
215,1,23.843,8.0,23.855,7.984,0.02,-14.51,66.03,-27.95,71.52,20.0,127,1000
216,1,23.832,8.0,23.798,8.06,0.069,-14.41,66.24,-28.04,71.78,20.0,127,1000
217,1,23.821,8.0,23.806,8.03,0.033,-14.49,66.26,-28.13,72.04,20.0,127,1000
218,1,23.81,8.0,23.823,7.985,0.02,-14.59,66.24,-28.22,72.29,20.0,127,1000
219,1,23.799,8.0,23.803,7.993,0.008,-14.62,66.36,-28.3,72.55,20.0,127,1000
220,1,23.788,8.0,23.778,8.02,0.022,-14.59,66.46,-28.39,72.81,20.0,127,1000
221,1,23.777,8.0,23.786,7.972,0.029,-14.73,66.51,-28.47,73.07,20.0,127,1000
222,1,23.766,8.0,23.754,8.026,0.029,-14.63,66.61,-28.56,73.32,20.0,127,1000
223,1,23.755,8.0,23.753,8.002,0.003,-14.71,66.67,-28.64,73.58,20.0,127,1000
224,1,23.744,8.0,23.743,8.008,0.008,-14.72,66.72,-28.72,73.83,20.0,127,1000
225,1,23.732,8.0,23.748,7.986,0.021,-14.78,66.74,-28.81,74.08,20.0,127,1000
226,1,23.721,8.0,23.703,8.015,0.024,-14.8,66.97,-28.89,74.34,20.0,127,1000
227,1,23.71,8.0,23.7,8.016,0.019,-14.81,66.99,-28.97,74.59,20.0,127,1000
228,1,23.698,8.0,23.678,8.02,0.028,-14.85,67.12,-29.05,74.84,20.0,127,1000
229,1,23.687,8.0,23.67,8.019,0.026,-14.87,67.17,-29.14,75.09,20.0,127,1000
230,1,23.675,8.0,23.673,7.995,0.006,-14.94,67.21,-29.22,75.34,20.0,127,1000
231,1,23.664,8.0,23.677,7.963,0.04,-15.04,67.25,-29.3,75.59,20.0,127,1000
232,1,23.652,8.0,23.65,8.008,0.009,-14.96,67.33,-29.38,75.84,20.0,127,1000
233,1,23.641,8.0,23.648,7.976,0.025,-15.07,67.41,-29.46,76.08,20.0,127,1000
234,1,23.629,8.0,23.635,7.992,0.01,-15.05,67.47,-29.53,76.33,20.0,127,1000
235,1,23.617,8.0,23.605,8.013,0.018,-15.06,67.61,-29.61,76.58,20.0,127,1000
236,1,23.605,8.0,23.601,7.977,0.024,-15.18,67.72,-29.69,76.82,20.0,127,1000
237,1,23.594,8.0,23.576,8.005,0.019,-15.15,67.82,-29.77,77.07,20.0,127,1000
238,1,23.582,8.0,23.574,8.035,0.036,-15.06,67.76,-29.84,77.31,20.0,127,1000
239,1,23.57,8.0,23.584,7.971,0.032,-15.25,67.84,-29.92,77.55,20.0,127,1000
240,1,23.558,8.0,23.566,7.979,0.023,-15.26,67.94,-30.0,77.79,20.0,127,1000
241,1,23.546,8.0,23.543,8.012,0.012,-15.21,68.01,-30.07,78.04,20.0,127,1000
242,1,23.534,8.0,23.546,7.982,0.022,-15.3,68.06,-30.15,78.28,20.0,127,1000
243,1,23.521,8.0,23.509,8.024,0.027,-15.26,68.21,-30.22,78.52,20.0,127,1000
244,1,23.509,8.0,23.496,8.017,0.021,-15.31,68.3,-30.29,78.75,20.0,127,1000
245,1,23.497,8.0,23.508,7.953,0.048,-15.49,68.37,-30.37,78.99,20.0,127,1000
246,1,23.485,8.0,23.472,8.017,0.021,-15.37,68.46,-30.44,79.23,20.0,127,1000
247,1,23.472,8.0,23.459,8.033,0.036,-15.35,68.51,-30.51,79.47,20.0,127,1000
248,1,23.46,8.0,23.481,7.951,0.053,-15.57,68.55,-30.59,79.7,20.0,127,1000
249,1,23.447,8.0,23.455,7.997,0.008,-15.48,68.61,-30.66,79.94,20.0,127,1000
250,1,23.435,8.0,23.436,8.019,0.019,-15.46,68.69,-30.73,80.17,20.0,127,1000
251,1,23.422,8.0,23.422,7.996,0.004,-15.57,68.83,-30.8,80.41,20.0,127,1000
252,1,23.41,8.0,23.438,7.955,0.053,-15.66,68.81,-30.87,80.64,20.0,127,1000
253,1,23.397,8.0,23.41,7.989,0.017,-15.62,68.92,-30.94,80.87,20.0,127,1000
254,1,23.385,8.0,23.389,7.98,0.02,-15.7,69.07,-31.01,81.1,20.0,127,1000
255,1,23.372,8.0,23.36,8.013,0.018,-15.66,69.19,-31.08,81.34,20.0,127,1000
256,1,23.359,8.0,23.331,8.043,0.051,-15.63,69.31,-31.14,81.57,20.0,127,1000
257,1,23.346,8.0,23.346,7.974,0.026,-15.82,69.36,-31.21,81.79,20.0,127,1000
258,1,23.333,8.0,23.351,7.977,0.029,-15.8,69.32,-31.28,82.02,20.0,127,1000
259,1,23.32,8.0,23.323,7.999,0.003,-15.79,69.45,-31.34,82.25,20.0,127,1000
260,1,23.307,8.0,23.333,7.942,0.063,-15.96,69.51,-31.41,82.48,20.0,127,1000
261,1,23.294,8.0,23.302,7.997,0.008,-15.85,69.59,-31.48,82.71,20.0,127,1000
262,1,23.281,8.0,23.284,8.007,0.007,-15.87,69.68,-31.54,82.93,20.0,127,1000
263,1,23.268,8.0,23.262,8.031,0.031,-15.84,69.77,-31.61,83.16,20.0,127,1000
264,1,23.255,8.0,23.237,8.042,0.046,-15.86,69.9,-31.67,83.38,20.0,127,1000
265,1,23.242,8.0,23.259,7.966,0.039,-16.06,69.93,-31.73,83.6,20.0,127,1000
266,1,23.228,8.0,23.229,7.993,0.007,-16.04,70.06,-31.8,83.83,20.0,127,1000
267,1,23.215,8.0,23.185,8.052,0.06,-15.95,70.21,-31.86,84.05,20.0,127,1000
268,1,23.202,8.0,23.213,7.959,0.043,-16.19,70.23,-31.92,84.27,20.0,127,1000
269,1,23.188,8.0,23.152,8.044,0.057,-16.06,70.43,-31.98,84.49,20.0,127,1000
270,1,23.175,8.0,23.179,8.017,0.017,-16.08,70.32,-32.04,84.71,20.0,127,1000
