timestamp_ms,command_id,target_x,target_y,real_x,real_y,error,motor1_pos,motor2_pos,velocity,pwm_effort,hz
62,1,6.241,0.0,6.049,0.021,0.193,-78.17,156.74,39.08,127,1000
63,1,6.261,0.0,6.077,0.01,0.185,-78.22,156.63,39.09,127,1000
64,1,6.281,0.0,6.101,0.019,0.181,-78.09,156.53,39.09,127,1000
65,1,6.301,0.0,6.127,0.013,0.174,-78.1,156.43,39.1,127,1000
66,1,6.321,0.0,6.166,0.015,0.156,-78.0,156.28,39.11,127,1000
67,1,6.341,0.0,6.166,0.024,0.177,-77.92,156.28,39.11,127,1000
68,1,6.361,0.0,6.175,0.027,0.188,-77.87,156.24,39.12,127,1000
69,1,6.381,0.0,6.192,0.025,0.19,-77.85,156.18,39.12,127,1000
70,1,6.401,0.0,6.227,0.014,0.174,-77.89,156.04,39.13,127,1000
71,1,6.421,0.0,6.224,0.024,0.198,-77.8,156.05,39.13,127,1000
72,1,6.441,0.0,6.266,0.02,0.176,-77.76,155.89,39.14,127,1000
73,1,6.461,0.0,6.292,0.017,0.17,-77.73,155.79,39.15,127,1000
74,1,6.481,0.0,6.311,0.02,0.172,-77.67,155.71,39.15,127,1000
75,1,6.501,0.0,6.304,0.023,0.198,-77.66,155.74,39.16,127,1000
76,1,6.521,0.0,6.335,0.02,0.188,-77.63,155.62,39.16,127,1000
77,1,6.541,0.0,6.385,0.014,0.157,-77.59,155.42,39.17,127,1000
78,1,6.561,0.0,6.392,0.018,0.171,-77.54,155.4,39.18,127,1000
79,1,6.581,0.0,6.419,0.012,0.163,-77.54,155.29,39.18,127,1000
80,1,6.601,0.0,6.423,0.024,0.18,-77.42,155.27,39.19,127,1000
81,1,6.621,0.0,6.44,0.014,0.182,-77.48,155.21,39.19,127,1000
82,1,6.641,0.0,6.452,0.034,0.192,-77.27,155.16,39.2,127,1000
83,1,6.661,0.0,6.484,0.014,0.178,-77.39,155.03,39.21,127,1000
84,1,6.681,0.0,6.483,0.018,0.199,-77.36,155.04,39.21,127,1000
85,1,6.701,0.0,6.526,0.025,0.177,-77.22,154.87,39.22,127,1000
86,1,6.721,0.0,6.555,0.012,0.167,-77.27,154.76,39.22,127,1000
87,1,6.742,0.0,6.55,0.033,0.195,-77.1,154.78,39.23,127,1000
88,1,6.762,0.0,6.602,0.014,0.16,-77.17,154.57,39.24,127,1000
89,1,6.782,0.0,6.6,0.021,0.182,-77.11,154.58,39.24,127,1000
90,1,6.802,0.0,6.61,0.017,0.193,-77.12,154.54,39.25,127,1000
91,1,6.822,0.0,6.632,0.029,0.192,-76.97,154.46,39.26,127,1000
92,1,6.842,0.0,6.653,0.018,0.189,-77.03,154.37,39.26,127,1000
93,1,6.862,0.0,6.687,0.024,0.176,-76.92,154.24,39.27,127,1000
94,1,6.882,0.0,6.695,0.03,0.189,-76.85,154.21,39.27,127,1000
95,1,6.902,0.0,6.717,0.021,0.186,-76.88,154.12,39.28,127,1000
96,1,6.922,0.0,6.736,0.026,0.187,-76.81,154.05,39.29,127,1000
97,1,6.942,0.0,6.748,0.005,0.194,-76.96,154.0,39.29,127,1000
98,1,6.962,0.0,6.764,0.03,0.2,-76.72,153.94,39.3,127,1000
99,1,6.982,0.0,6.768,0.027,0.216,-76.73,153.93,39.31,127,1000
100,1,7.002,0.0,6.825,0.022,0.178,-76.66,153.7,39.31,127,1000
101,1,7.022,0.0,6.831,0.022,0.192,-76.66,153.68,39.32,127,1000
102,1,7.042,0.0,6.866,0.033,0.179,-76.5,153.54,39.33,127,1000
103,1,7.062,0.0,6.903,0.008,0.159,-76.63,153.39,39.33,127,1000
104,1,7.082,0.0,6.879,0.026,0.204,-76.53,153.49,39.34,127,1000
105,1,7.102,0.0,6.946,0.018,0.157,-76.47,153.23,39.35,127,1000
106,1,7.122,0.0,6.938,0.015,0.185,-76.51,153.26,39.35,127,1000
107,1,7.142,0.0,6.94,0.036,0.205,-76.33,153.25,39.36,127,1000
108,1,7.162,0.0,6.975,0.021,0.188,-76.39,153.11,39.37,127,1000
109,1,7.182,0.0,7.016,0.027,0.168,-76.26,152.95,39.37,127,1000
110,1,7.202,0.0,7.007,0.02,0.195,-76.33,152.98,39.38,127,1000
111,1,7.222,0.0,7.047,0.014,0.175,-76.3,152.83,39.39,127,1000
112,1,7.242,0.0,7.073,0.018,0.17,-76.22,152.73,39.39,127,1000
113,1,7.262,0.0,7.085,0.039,0.181,-76.02,152.68,39.4,127,1000
114,1,7.282,0.0,7.139,0.002,0.143,-76.22,152.47,39.41,127,1000
115,1,7.302,0.0,7.114,0.03,0.19,-76.04,152.56,39.41,127,1000
116,1,7.322,0.0,7.138,0.017,0.185,-76.1,152.47,39.42,127,1000
117,1,7.342,0.0,7.153,0.017,0.19,-76.07,152.41,39.43,127,1000
118,1,7.362,0.0,7.167,0.022,0.196,-76.01,152.36,39.43,127,1000
119,1,7.382,0.0,7.198,0.021,0.185,-75.95,152.23,39.44,127,1000
120,1,7.402,0.0,7.24,0.018,0.163,-75.89,152.07,39.45,127,1000
121,1,7.422,0.0,7.245,0.026,0.179,-75.82,152.05,39.45,127,1000
122,1,7.442,0.0,7.257,0.03,0.188,-75.76,152.0,39.46,127,1000
123,1,7.462,0.0,7.281,0.024,0.183,-75.76,151.91,39.47,127,1000
124,1,7.482,0.0,7.3,0.018,0.183,-75.78,151.83,39.47,127,1000
125,1,7.502,0.0,7.278,0.04,0.228,-75.65,151.92,39.48,127,1000
126,1,7.522,0.0,7.324,0.028,0.2,-75.65,151.74,39.49,127,1000
127,1,7.542,0.0,7.361,0.042,0.186,-75.47,151.59,39.5,127,1000
128,1,7.562,0.0,7.4,0.02,0.163,-75.56,151.44,39.5,127,1000
129,1,7.582,0.0,7.405,0.025,0.179,-75.52,151.42,39.51,127,1000
130,1,7.602,0.0,7.423,0.02,0.181,-75.52,151.35,39.52,127,1000
131,1,7.622,0.0,7.459,0.019,0.164,-75.46,151.2,39.52,127,1000
132,1,7.642,0.0,7.437,0.036,0.209,-75.37,151.29,39.53,127,1000
133,1,7.662,0.0,7.494,0.02,0.169,-75.38,151.07,39.54,127,1000
134,1,7.682,0.0,7.497,0.031,0.188,-75.29,151.06,39.55,127,1000
135,1,7.702,0.0,7.504,0.026,0.2,-75.32,151.03,39.55,127,1000
136,1,7.722,0.0,7.538,0.013,0.184,-75.34,150.89,39.56,127,1000
137,1,7.742,0.0,7.55,0.025,0.194,-75.23,150.85,39.57,127,1000
138,1,7.762,0.0,7.572,0.031,0.193,-75.15,150.76,39.57,127,1000
139,1,7.782,0.0,7.605,0.026,0.179,-75.12,150.63,39.58,127,1000
140,1,7.802,0.0,7.618,0.043,0.189,-74.97,150.58,39.59,127,1000
141,1,7.822,0.0,7.66,0.018,0.164,-75.07,150.41,39.6,127,1000
142,1,7.842,0.0,7.663,0.033,0.183,-74.96,150.4,39.6,127,1000
143,1,7.862,0.0,7.68,0.021,0.184,-75.01,150.33,39.61,127,1000
144,1,7.883,0.0,7.715,0.021,0.169,-74.94,150.2,39.62,127,1000
145,1,7.903,0.0,7.727,0.027,0.177,-74.88,150.15,39.63,127,1000
146,1,7.923,0.0,7.717,0.032,0.208,-74.85,150.19,39.63,127,1000
147,1,7.943,0.0,7.755,0.034,0.19,-74.77,150.04,39.64,127,1000
148,1,7.963,0.0,7.757,0.031,0.208,-74.78,150.03,39.65,127,1000
149,1,7.983,0.0,7.797,0.041,0.19,-74.64,149.87,39.66,127,1000
150,1,8.003,0.0,7.835,0.016,0.169,-74.74,149.72,39.66,127,1000
151,1,8.023,0.0,7.838,0.026,0.187,-74.67,149.71,39.67,127,1000
152,1,8.043,0.0,7.88,0.017,0.164,-74.65,149.54,39.68,127,1000
153,1,8.063,0.0,7.865,0.009,0.198,-74.73,149.6,39.69,127,1000
154,1,8.083,0.0,7.89,0.033,0.196,-74.51,149.5,39.69,127,1000
155,1,8.103,0.0,7.942,0.019,0.162,-74.51,149.3,39.7,127,1000
156,1,8.123,0.0,7.985,0.007,0.138,-74.51,149.13,39.71,127,1000
157,1,8.143,0.0,7.985,0.03,0.161,-74.35,149.13,39.72,127,1000
158,1,8.163,0.0,7.995,0.038,0.172,-74.27,149.09,39.73,127,1000
159,1,8.183,0.0,8.0,0.028,0.185,-74.33,149.07,39.73,127,1000
160,1,8.203,0.0,8.01,0.046,0.198,-74.18,149.03,39.74,127,1000
161,1,8.223,0.0,8.057,0.012,0.166,-74.34,148.84,39.75,127,1000
162,1,8.243,0.0,8.068,0.038,0.179,-74.13,148.8,39.76,127,1000
163,1,8.263,0.0,8.062,0.025,0.203,-74.23,148.82,39.76,127,1000
164,1,8.283,0.0,8.117,0.043,0.171,-74.0,148.6,39.77,127,1000
165,1,8.303,0.0,8.13,0.024,0.175,-74.11,148.55,39.78,127,1000
166,1,8.323,0.0,8.134,0.029,0.191,-74.06,148.54,39.79,127,1000
167,1,8.343,0.0,8.131,0.03,0.214,-74.06,148.55,39.8,127,1000
168,1,8.363,0.0,8.17,0.02,0.194,-74.06,148.39,39.8,127,1000
169,1,8.383,0.0,8.212,0.038,0.175,-73.85,148.23,39.81,127,1000
170,1,8.403,0.0,8.222,0.021,0.182,-73.94,148.19,39.82,127,1000
171,1,8.423,0.0,8.217,0.038,0.209,-73.84,148.21,39.83,127,1000
172,1,8.443,0.0,8.278,0.009,0.165,-73.92,147.96,39.84,127,1000
173,1,8.463,0.0,8.271,0.037,0.195,-73.74,147.99,39.84,127,1000
174,1,8.483,0.0,8.318,0.03,0.168,-73.69,147.81,39.85,127,1000
175,1,8.503,0.0,8.312,0.035,0.194,-73.67,147.83,39.86,127,1000
176,1,8.523,0.0,8.34,0.028,0.186,-73.66,147.72,39.87,127,1000
177,1,8.543,0.0,8.359,0.039,0.188,-73.56,147.64,39.88,127,1000
178,1,8.563,0.0,8.373,0.035,0.193,-73.56,147.59,39.89,127,1000
179,1,8.583,0.0,8.403,0.026,0.182,-73.55,147.47,39.89,127,1000
180,1,8.603,0.0,8.423,0.041,0.184,-73.41,147.39,39.9,127,1000
181,1,8.623,0.0,8.452,0.026,0.173,-73.46,147.27,39.91,127,1000
182,1,8.643,0.0,8.472,0.029,0.173,-73.4,147.19,39.92,127,1000
183,1,8.663,0.0,8.487,0.031,0.179,-73.35,147.13,39.93,127,1000
184,1,8.683,0.0,8.506,0.013,0.178,-73.44,147.06,39.94,127,1000
185,1,8.703,0.0,8.53,0.04,0.178,-73.21,146.96,39.94,127,1000
186,1,8.723,0.0,8.551,0.018,0.173,-73.32,146.88,39.95,127,1000
187,1,8.743,0.0,8.576,0.017,0.168,-73.28,146.78,39.96,127,1000
188,1,8.763,0.0,8.603,0.012,0.16,-73.26,146.67,39.97,127,1000
189,1,8.783,0.0,8.602,0.029,0.183,-73.14,146.67,39.98,127,1000
190,1,8.803,0.0,8.621,0.008,0.182,-73.25,146.6,39.99,127,1000
191,1,8.823,0.0,8.614,0.045,0.214,-73.01,146.63,40.0,127,1000
192,1,8.843,0.0,8.655,0.028,0.191,-73.05,146.46,40.0,127,1000
193,1,8.863,0.0,8.676,0.025,0.189,-73.02,146.38,40.01,127,1000
194,1,8.883,0.0,8.72,0.019,0.164,-72.98,146.2,40.02,127,1000
195,1,8.903,0.0,8.708,0.051,0.201,-72.79,146.25,40.03,127,1000
196,1,8.923,0.0,8.747,0.018,0.177,-72.93,146.1,40.04,127,1000
197,1,8.943,0.0,8.778,0.042,0.17,-72.71,145.97,40.05,127,1000
198,1,8.963,0.0,8.808,0.023,0.157,-72.78,145.85,40.06,127,1000
199,1,8.983,0.0,8.806,0.041,0.183,-72.66,145.86,40.06,127,1000
200,1,9.003,0.0,8.838,0.027,0.168,-72.69,145.73,40.07,127,1000
201,1,9.023,0.0,8.853,0.02,0.172,-72.7,145.67,40.08,127,1000
202,1,9.044,0.0,8.868,0.033,0.178,-72.59,145.61,40.09,127,1000
203,1,9.064,0.0,8.882,0.026,0.184,-72.61,145.56,40.1,127,1000
204,1,9.084,0.0,8.92,0.02,0.165,-72.57,145.41,40.11,127,1000
205,1,9.104,0.0,8.918,0.035,0.189,-72.48,145.41,40.12,127,1000
206,1,9.124,0.0,8.956,0.027,0.169,-72.46,145.26,40.13,127,1000
207,1,9.144,0.0,8.974,0.021,0.171,-72.46,145.19,40.14,127,1000
208,1,9.164,0.0,8.99,0.028,0.176,-72.38,145.12,40.14,127,1000
209,1,9.184,0.0,9.013,0.041,0.176,-72.25,145.03,40.15,127,1000
210,1,9.204,0.0,9.017,0.042,0.191,-72.24,145.02,40.16,127,1000
211,1,9.224,0.0,9.029,0.036,0.198,-72.25,144.97,40.17,127,1000
212,1,9.244,0.0,9.078,0.029,0.168,-72.2,144.77,40.18,127,1000
213,1,9.264,0.0,9.092,0.034,0.175,-72.15,144.72,40.19,127,1000
214,1,9.284,0.0,9.111,0.023,0.174,-72.18,144.64,40.2,127,1000
215,1,9.304,0.0,9.119,0.022,0.186,-72.16,144.61,40.21,127,1000
216,1,9.324,0.0,9.161,0.024,0.165,-72.07,144.44,40.22,127,1000
217,1,9.344,0.0,9.169,0.025,0.177,-72.04,144.41,40.23,127,1000
218,1,9.364,0.0,9.148,0.039,0.219,-72.0,144.49,40.24,127,1000
219,1,9.384,0.0,9.222,0.026,0.164,-71.94,144.19,40.25,127,1000
220,1,9.404,0.0,9.235,0.032,0.172,-71.87,144.14,40.25,127,1000
221,1,9.424,0.0,9.232,0.003,0.192,-72.06,144.16,40.26,127,1000
222,1,9.444,0.0,9.251,0.038,0.197,-71.81,144.08,40.27,127,1000
223,1,9.464,0.0,9.294,0.027,0.172,-71.79,143.9,40.28,127,1000
224,1,9.484,0.0,9.312,0.025,0.174,-71.76,143.83,40.29,127,1000
225,1,9.504,0.0,9.324,0.033,0.183,-71.69,143.79,40.3,127,1000
226,1,9.524,0.0,9.357,0.016,0.168,-71.73,143.65,40.31,127,1000
227,1,9.544,0.0,9.369,0.02,0.176,-71.68,143.6,40.32,127,1000
228,1,9.564,0.0,9.376,0.036,0.191,-71.57,143.57,40.33,127,1000
229,1,9.584,0.0,9.422,0.036,0.166,-71.47,143.39,40.34,127,1000
230,1,9.604,0.0,9.45,0.028,0.156,-71.47,143.28,40.35,127,1000
231,1,9.624,0.0,9.439,0.046,0.191,-71.38,143.32,40.36,127,1000
232,1,9.644,0.0,9.455,0.046,0.194,-71.35,143.26,40.37,127,1000
233,1,9.664,0.0,9.506,0.011,0.159,-71.46,143.05,40.38,127,1000
234,1,9.684,0.0,9.517,0.025,0.169,-71.35,143.01,40.39,127,1000
235,1,9.704,0.0,9.516,0.035,0.191,-71.29,143.01,40.4,127,1000
236,1,9.724,0.0,9.553,0.021,0.172,-71.3,142.86,40.41,127,1000
237,1,9.744,0.0,9.556,0.044,0.193,-71.16,142.85,40.42,127,1000
238,1,9.764,0.0,9.598,0.026,0.168,-71.18,142.68,40.43,127,1000
239,1,9.784,0.0,9.593,0.048,0.197,-71.07,142.7,40.44,127,1000
240,1,9.804,0.0,9.631,0.026,0.175,-71.12,142.55,40.45,127,1000
241,1,9.824,0.0,9.658,0.044,0.172,-70.96,142.44,40.46,127,1000
242,1,9.844,0.0,9.685,0.026,0.162,-71.01,142.33,40.47,127,1000
243,1,9.864,0.0,9.686,0.041,0.183,-70.92,142.33,40.48,127,1000
244,1,9.884,0.0,9.705,0.022,0.181,-70.99,142.25,40.49,127,1000
245,1,9.904,0.0,9.713,0.046,0.197,-70.84,142.22,40.5,127,1000
246,1,9.924,0.0,9.765,0.026,0.161,-70.85,142.01,40.51,127,1000
247,1,9.944,0.0,9.756,0.032,0.191,-70.83,142.04,40.52,127,1000
248,1,9.964,0.0,9.783,0.027,0.183,-70.81,141.94,40.53,127,1000
249,1,9.984,0.0,9.784,0.035,0.204,-70.76,141.93,40.54,127,1000
250,1,10.004,0.0,9.844,0.021,0.162,-70.72,141.69,40.55,127,1000
251,1,10.024,0.0,9.843,0.038,0.185,-70.63,141.69,40.56,127,1000
252,1,10.044,0.0,9.851,0.02,0.195,-70.71,141.66,40.57,127,1000
253,1,10.064,0.0,9.906,0.019,0.16,-70.61,141.44,40.58,127,1000
254,1,10.084,0.0,9.916,0.033,0.172,-70.51,141.4,40.59,127,1000
255,1,10.104,0.0,9.917,0.02,0.188,-70.58,141.39,40.6,127,1000
256,1,10.124,0.0,9.959,0.03,0.168,-70.44,141.22,40.61,127,1000
257,1,10.144,0.0,9.967,0.03,0.18,-70.42,141.19,40.62,127,1000
258,1,10.164,0.0,9.989,0.037,0.179,-70.34,141.1,40.63,127,1000
259,1,10.185,0.0,10.038,0.031,0.149,-70.27,140.9,40.64,127,1000
260,1,10.205,0.0,10.007,0.027,0.199,-70.36,141.03,40.65,127,1000
261,1,10.225,0.0,10.034,0.023,0.192,-70.33,140.92,40.66,127,1000
262,1,10.245,0.0,10.082,0.02,0.164,-70.25,140.73,40.67,127,1000
263,1,10.265,0.0,10.076,0.046,0.194,-70.11,140.75,40.68,127,1000
264,1,10.285,0.0,10.085,0.046,0.205,-70.1,140.71,40.69,127,1000
265,1,10.305,0.0,10.113,0.033,0.194,-70.11,140.6,40.7,127,1000
266,1,10.325,0.0,10.151,0.032,0.177,-70.04,140.45,40.71,127,1000
267,1,10.345,0.0,10.153,0.017,0.192,-70.12,140.44,40.72,127,1000
268,1,10.365,0.0,10.179,0.031,0.188,-69.99,140.33,40.73,127,1000
269,1,10.385,0.0,10.233,0.009,0.152,-70.0,140.11,40.74,127,1000
270,1,10.405,0.0,10.232,0.04,0.177,-69.83,140.12,40.76,127,1000
271,1,10.425,0.0,10.289,0.014,0.137,-69.86,139.88,40.77,127,1000
272,1,10.445,0.0,10.258,0.045,0.192,-69.75,140.01,40.78,127,1000
273,1,10.465,0.0,10.277,0.032,0.19,-69.79,139.93,40.79,127,1000
274,1,10.485,0.0,10.301,0.031,0.186,-69.74,139.83,40.8,127,1000
275,1,10.505,0.0,10.316,0.035,0.193,-69.69,139.78,40.81,127,1000
276,1,10.525,0.0,10.346,0.044,0.184,-69.58,139.65,40.82,127,1000
277,1,10.545,0.0,10.37,0.047,0.181,-69.51,139.55,40.83,127,1000
278,1,10.565,0.0,10.406,0.026,0.161,-69.56,139.41,40.84,127,1000
279,1,10.585,0.0,10.405,0.034,0.183,-69.52,139.41,40.85,127,1000
280,1,10.605,0.0,10.434,0.036,0.174,-69.45,139.29,40.86,127,1000
281,1,10.625,0.0,10.444,0.042,0.186,-69.4,139.25,40.87,127,1000
282,1,10.645,0.0,10.489,0.041,0.161,-69.31,139.07,40.89,127,1000
283,1,10.665,0.0,10.486,0.043,0.184,-69.31,139.08,40.9,127,1000
284,1,10.685,0.0,10.509,0.04,0.18,-69.28,138.99,40.91,127,1000
285,1,10.705,0.0,10.541,0.05,0.171,-69.16,138.86,40.92,127,1000
286,1,10.725,0.0,10.53,0.034,0.198,-69.27,138.9,40.93,127,1000
287,1,10.745,0.0,10.579,0.011,0.166,-69.29,138.7,40.94,127,1000
288,1,10.765,0.0,10.581,0.026,0.186,-69.2,138.69,40.95,127,1000
289,1,10.785,0.0,10.607,0.029,0.18,-69.13,138.59,40.96,127,1000
290,1,10.805,0.0,10.644,0.009,0.161,-69.17,138.44,40.98,127,1000
291,1,10.825,0.0,10.642,0.034,0.187,-69.04,138.45,40.99,127,1000
292,1,10.845,0.0,10.673,0.039,0.177,-68.95,138.32,41.0,127,1000
293,1,10.865,0.0,10.673,0.049,0.199,-68.9,138.32,41.01,127,1000
294,1,10.885,0.0,10.713,0.039,0.176,-68.87,138.15,41.02,127,1000
295,1,10.905,0.0,10.739,0.04,0.171,-68.81,138.05,41.03,127,1000
296,1,10.925,0.0,10.765,0.031,0.164,-68.81,137.94,41.04,127,1000
297,1,10.945,0.0,10.789,0.037,0.16,-68.73,137.84,41.05,127,1000
298,1,10.965,0.0,10.812,0.023,0.155,-68.76,137.75,41.07,127,1000
299,1,10.985,0.0,10.808,0.04,0.181,-68.67,137.77,41.08,127,1000
300,1,11.005,0.0,10.851,0.033,0.157,-68.62,137.59,41.09,127,1000
301,1,11.025,0.0,10.854,0.041,0.176,-68.57,137.58,41.1,127,1000
302,1,11.045,0.0,10.873,0.033,0.175,-68.58,137.5,41.11,127,1000
303,1,11.065,0.0,10.882,0.021,0.184,-68.62,137.46,41.12,127,1000
304,1,11.085,0.0,10.899,0.042,0.191,-68.47,137.39,41.14,127,1000
305,1,11.105,0.0,10.909,0.05,0.203,-68.41,137.35,41.15,127,1000
306,1,11.125,0.0,10.948,0.046,0.183,-68.35,137.19,41.16,127,1000
307,1,11.145,0.0,10.988,0.022,0.159,-68.4,137.03,41.17,127,1000
308,1,11.165,0.0,10.972,0.039,0.198,-68.34,137.1,41.18,127,1000
309,1,11.185,0.0,11.019,0.036,0.17,-68.26,136.9,41.2,127,1000
310,1,11.205,0.0,11.023,0.048,0.189,-68.19,136.89,41.21,127,1000
311,1,11.225,0.0,11.039,0.041,0.191,-68.2,136.82,41.22,127,1000
312,1,11.245,0.0,11.09,0.043,0.161,-68.08,136.61,41.23,127,1000
313,1,11.265,0.0,11.096,0.037,0.174,-68.1,136.59,41.24,127,1000
314,1,11.285,0.0,11.134,0.042,0.157,-68.0,136.43,41.26,127,1000
315,1,11.305,0.0,11.134,0.021,0.173,-68.11,136.43,41.27,127,1000
316,1,11.326,0.0,11.152,0.044,0.179,-67.95,136.36,41.28,127,1000
317,1,11.346,0.0,11.185,0.032,0.163,-67.94,136.22,41.29,127,1000
318,1,11.366,0.0,11.161,0.04,0.209,-67.96,136.32,41.3,127,1000
319,1,11.386,0.0,11.201,0.025,0.186,-67.95,136.15,41.32,127,1000
320,1,11.406,0.0,11.215,0.038,0.195,-67.86,136.1,41.33,127,1000
321,1,11.426,0.0,11.262,0.034,0.167,-67.78,135.9,41.34,127,1000
322,1,11.446,0.0,11.277,0.031,0.172,-67.76,135.84,41.35,127,1000
323,1,11.466,0.0,11.292,0.043,0.179,-67.67,135.78,41.36,127,1000
324,1,11.486,0.0,11.296,0.036,0.193,-67.7,135.76,41.38,127,1000
325,1,11.506,0.0,11.351,0.055,0.164,-67.49,135.53,41.39,127,1000
326,1,11.526,0.0,11.368,0.024,0.159,-67.61,135.46,41.4,127,1000
327,1,11.546,0.0,11.388,0.039,0.162,-67.49,135.38,41.41,127,1000
328,1,11.566,0.0,11.408,0.06,0.168,-67.35,135.3,41.43,127,1000
329,1,11.586,0.0,11.417,0.053,0.176,-67.36,135.26,41.44,127,1000
